Lijst,NaamWet,taxongroep,scientificName,scientificNameAuthorship,vernacularName,KenmerkCode,Kenmerk,KenmerkwaardeCode,Kenmerkwaarde,kingdom
Provinciaal belangrijke soorten - Antwerpen,Epidalea calamita,Amfibieën,Epidalea calamita,NULL,Rugstreeppad,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Hyla arborea,Amfibieën,Hyla arborea,NULL,Boomkikker,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Pelophylax lessonae,Amfibieën,Pelophylax lessonae,"(Camerano, 1882)",Poelkikker,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Rana arvalis,Amfibieën,Rana arvalis,NULL,Heikikker,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Triturus cristatus,Amfibieën,Triturus cristatus,"(Laurenti, 1768)",Kamsalamander,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Hamatocaulis vernicosus (Mitt.) Hedenäs,Bladmossen,Hamatocaulis vernicosus,(Mitt.) Hedenäs,Geel schorpioenmos,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Antwerpen,Accipiter gentilis,Vogels,Accipiter gentilis,NULL,Havik,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Acrocephalus palustris,Vogels,Acrocephalus palustris,NULL,Bosrietzanger,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Aegithalos caudatus,Vogels,Aegithalos caudatus,NULL,Staartmees,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Alcedo atthis,Vogels,Alcedo atthis,NULL,Ijsvogel,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Anthus pratensis,Vogels,Anthus pratensis,NULL,Graspieper,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Anthus trivialis,Vogels,Anthus trivialis,NULL,Boompieper,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Athene noctua,Vogels,Athene noctua,NULL,Steenuil,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Botaurus stellaris,Vogels,Botaurus stellaris,NULL,Roerdomp,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Bubo bubo,Vogels,Bubo bubo,NULL,Oehoe,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Caprimulgus europaeus,Vogels,Caprimulgus europaeus,NULL,Nachtzwaluw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Charadrius dubius,Vogels,Charadrius dubius,NULL,Kleine plevier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Ciconia ciconia,Vogels,Ciconia ciconia,NULL,Ooievaar,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Circus aeruginosus,Vogels,Circus aeruginosus,NULL,Bruine kiekendief,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Coccothraustes coccothraustes,Vogels,Coccothraustes coccothraustes,NULL,Appelvink,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Corvus corax,Vogels,Corvus corax,NULL,Raaf,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Corvus frugilegus,Vogels,Corvus frugilegus,NULL,Roek,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Crex crex,Vogels,Crex crex,NULL,Kwartelkoning,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Cyanecula svecica,Vogels,Luscinia svecica,NULL,Blauwborst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Dendrocopos major,Vogels,Dendrocopos major,NULL,Grote bonte specht,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Dendrocopos minor,Vogels,Dendrocopos minor,NULL,Kleine bonte specht,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Dryocopus martius,Vogels,Dryocopus martius,NULL,Zwarte specht,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Falco peregrinus,Vogels,Falco peregrinus,NULL,Slechtvalk,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Ficedula hypoleuca,Vogels,Ficedula hypoleuca,NULL,Bonte vliegenvanger,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Haematopus ostralegus,Vogels,Haematopus ostralegus,NULL,Scholekster,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Himantopus himantopus,Vogels,Himantopus himantopus,NULL,Steltkluut,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Ichtyaetus melanocephalus,Vogels,Ichthyaetus melanocephalus,NULL,Zwartkopmeeuw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Ixobrychus minutus,Vogels,Ixobrychus minutus,NULL,Woudaap,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Lanius collurio,Vogels,Lanius collurio,NULL,Grauwe klauwier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Leiopicus medius,Vogels,Dendrocoptes medius,NULL,Middelste bonte specht,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Limosa limosa,Vogels,Limosa limosa,NULL,Grutto,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Locustella naevia,Vogels,Locustella naevia,NULL,Sprinkhaanzanger,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Loxia curvirostra,Vogels,Loxia curvirostra,NULL,Kruisbek,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Lullula arborea,Vogels,Lullula arborea,NULL,Boomleeuwerik,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Luscinia megarhynchos,Vogels,Luscinia megarhynchos,NULL,Nachtegaal,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Numenius arquata,Vogels,Numenius arquata,NULL,Wulp,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Oenanthe oenanthe,Vogels,Oenanthe oenanthe,NULL,Tapuit,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Oriolus oriolus,Vogels,Oriolus oriolus,NULL,Wielewaal,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Passer domesticus,Vogels,Passer domesticus,NULL,Huismus,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Pernis apivorus,Vogels,Pernis apivorus,NULL,Wespendief,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Phoenicurus phoenicurus,Vogels,Phoenicurus phoenicurus,NULL,Gekraagde roodstaart,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Phylloscopus sibilatrix,Vogels,Phylloscopus sibilatrix,NULL,Fluiter,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Phylloscopus trochilus,Vogels,Phylloscopus trochilus,NULL,Fitis,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Poecile montanus,Vogels,Poecile montanus,NULL,Matkop,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Antwerpen,Porzana porzana,Vogels,Porzana porzana,NULL,Porseleinhoen,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
