Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Vlaams Prioritaire soorten;2014;1;Amfibieën;Epidalea calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Hyla arborea;Boomkikker;Amfibieën;Hyla arborea;NULL;Boomkikker;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Pelobates fuscus;Knoflookpad;Amfibieën;Pelobates fuscus;NULL;Knoflookpad;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Pelophylax lessonae;Poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Rana arvalis;Heikikker;Amfibieën;Rana arvalis;NULL;Heikikker;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Salamandra salamandra;Vuursalamander;Amfibieën;Salamandra salamandra;NULL;Vuursalamander;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Amfibieën;Triturus cristatus;Kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Broedvogels;Anthus trivialis;Boompieper;Vogels;Anthus trivialis;NULL;Boompieper;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Broedvogels;Athene noctua;Steenuil;Vogels;Athene noctua;NULL;Steenuil;NULL;NULL;NULL;NULL
Vlaams Prioritaire soorten;2014;1;Broedvogels;Emberiza calandra;Grauwe gors;Vogels;Emberiza calandra;NULL;Grauwe gors;NULL;NULL;NULL;NULL
