Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Provinciaal belangrijke soorten - Antwerpen;2010;0;Amfibieën;Bufo calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Amfibieën;Epidalea calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Amfibieën;Pelophylax lessonae;Poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Amfibieën;Rana arvalis;Heikikker;Amfibieën;Rana arvalis;NULL;Heikikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Alcedo atthis;Ijsvogel;Vogels;Alcedo atthis;NULL;Ijsvogel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Anthus trivialis;Boompieper;Vogels;Anthus trivialis;NULL;Boompieper;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Dryocopus martius;Zwarte specht;Vogels;Dryocopus martius;NULL;Zwarte specht;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Lullula arborea;Boomleeuwerik;Vogels;Lullula arborea;NULL;Boomleeuwerik;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Luscinia megarhynchos;Nachtegaal;Vogels;Luscinia megarhynchos;NULL;Nachtegaal;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Luscinia svecica;Blauwborst;Vogels;Luscinia svecica;NULL;Blauwborst;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Oriolus oriolus;Wielewaal;Vogels;Oriolus oriolus;NULL;Wielewaal;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Parus montanus;Matkop;Vogels;Poecile montanus;NULL;Matkop;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Phoenicurus phoenicurus;Gekraagde roodstaart;Vogels;Phoenicurus phoenicurus;NULL;Gekraagde roodstaart;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Porzana porzana;Porseleinhoen;Vogels;Porzana porzana;NULL;Porseleinhoen;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Broedvogels;Recurvirostra avosetta;Kluut;Vogels;Recurvirostra avosetta;NULL;Kluut;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Callophrys rubi;Groentje;Dagvlinders;Callophrys rubi;NULL;Groentje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Carterocephalus palaemon;Bont dikkopje;Dagvlinders;Carterocephalus palaemon;NULL;Bont dikkopje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Hipparchia semele;Heivlinder;Dagvlinders;Hipparchia semele;(Linnaeus, 1758);Heivlinder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Melitaea cinxia;Veldparelmoervlinder;Dagvlinders;Melitaea cinxia;NULL;Veldparelmoervlinder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Phengaris alcon;Gentiaanblauwtje;Dagvlinders;Phengaris alcon;NULL;Gentiaanblauwtje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Dagvlinders;Plebejus argus;Heideblauwtje;Dagvlinders;Plebejus argus;NULL;Heideblauwtje;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Aeshna isoceles;Vroege glazenmaker;Libellen;Aeshna isoceles;NULL;Vroege glazenmaker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Aeshna juncea;Venglazenmaker;Libellen;Aeshna juncea;NULL;Venglazenmaker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Brachytron pratense;Glassnijder;Libellen;Brachytron pratense;NULL;Glassnijder;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Calopteryx virgo;Bosbeekjuffer;Libellen;Calopteryx virgo;NULL;Bosbeekjuffer;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Coenagrion lunulatum;Maanwaterjuffer;Libellen;Coenagrion lunulatum;NULL;Maanwaterjuffer;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Coenagrion pulchellum;Variabele waterjuffer;Libellen;Coenagrion pulchellum;NULL;Variabele waterjuffer;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Gomphus vulgatissimus;Beekrombout;Libellen;Gomphus vulgatissimus;NULL;Beekrombout;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Lestes dryas;Tangpantserjuffer;Libellen;Lestes dryas;NULL;Tangpantserjuffer;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Leucorrhinia pectoralis;Gevlekte witsnuitlibel;Libellen;Leucorrhinia pectoralis;NULL;Gevlekte witsnuitlibel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Leucorrhinia rubicunda;Noordse witsnuitlibel;Libellen;Leucorrhinia rubicunda;NULL;Noordse witsnuitlibel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Libellula fulva;Bruine korenbout;Libellen;Libellula fulva;NULL;Bruine korenbout;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Orthetrum coerulescens;Beekoeverlibel;Libellen;Orthetrum coerulescens;NULL;Beekoeverlibel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Libellen;Sympetrum depressiusculum;Kempense heidelibel;Libellen;Sympetrum depressiusculum;NULL;Kempense heidelibel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Paddenstoelen;Alnicola alnetorum;Rossige elzenzompzwam;Paddenstoelen;Alnicola alnetorum;NULL;Rossige elzenzompzwam;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Antwerpen;2010;0;Paddenstoelen;Camarophyllopsis phaeophylla;Donkere wasplaat;Paddenstoelen;Camarophyllopsis phaeophylla;NULL;Donkere wasplaat;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
