language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks,isMarine,isFreshwater,isTerrestrial
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,1935/1935,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2013/2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,,Natagora,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,"Hierophis viridiflavus (Lacépède, 1987)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Hierophis,species,ICZN,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,,1894/1967,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,"Hierophis viridiflavus (Lacépède, 1987)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Hierophis,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2010/2023,Vogelbescherming Vlaanderen,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:04b8603a65a17134d98dc10e9b6460eb,"Lampropeltis (Fitzinger, 1843)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,genus,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2011/2014,Vogelbescherming Vlaanderen,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:0fe00308f2274b539fd7ffc022fec1ed,"Furcifer pardalis (Cuvier, 1829)",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2015/2015,SOS reptiel,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,"Calotes (Cuvier, 1817)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,genus,ICZN,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,containerBulk,2018/2018,SOS reptiel,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,"Calotes (Cuvier, 1817)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,genus,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2022/2022,https://waarnemingen.be/observation/256636763/,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/pnxu4c,INBO,Checklist of alien herpetofauna of Belgium,alien-herpetofauna-belgium:taxon:12f3f7396362d8052953e9d2e6a8bd6e,"Crotalus atrox (Baird & Girard, 1853)",Animalia,Chordata,Reptilia,Squamata,Crotalidae,Crotalus,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2019/2019,https://www.rtlnieuws.nl/nieuws/buitenland/artikel/4874306/belgische-brandweer-vindt-slangen-van-het-meest-giftige-soort,,FALSE,FALSE,TRUE
