Lijst,PublicatieJaar,LaatsteVersie,NaamWet,NaamNed,taxongroep,NaamWet_interpretatie,Auteur,NaamNed_interpretatie,KenmerkwaardeCode,Kenmerkwaarde,dwc_language,dwc_license,dwc_rightsHolder,dwc_accessRights,dwc_institutionCode,dwc_datasetName,dwc_ownerInstitutionCode,dwc_taxonRank,dwc_continent,dwc_country,dwc_stateProvince,dwc_countryCode
Subsidiebesluit,2017,1,Crex crex,Kwartelkoning,Vogels,Crex crex,NULL,Kwartelkoning,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Egretta garzetta,Kleine zilverreiger,Vogels,Egretta garzetta,NULL,Kleine zilverreiger,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Gallinago gallinago,Watersnip,Vogels,Gallinago gallinago,NULL,Watersnip,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Himantopus himantopus,Steltkluut,Vogels,Himantopus himantopus,NULL,Steltkluut,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Limosa limosa,Grutto,Vogels,Limosa limosa,NULL,Grutto,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Numenius arquata,Wulp,Vogels,Numenius arquata,NULL,Wulp,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Philomachus pugnax,Kemphaan,Vogels,Calidris pugnax,NULL,Kemphaan,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Recurvirostra avosetta,Kluut,Vogels,Recurvirostra avosetta,NULL,Kluut,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Tringa totanus,Tureluur,Vogels,Tringa totanus,NULL,Tureluur,1,onderhoud van greppels met het oog op slikranden,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Botaurus stellaris,Roerdomp,Vogels,Botaurus stellaris,NULL,Roerdomp,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Botaurus stellaris,Roerdomp,Vogels,Botaurus stellaris,NULL,Roerdomp,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Circus aeruginosus,Bruine kiekendief,Vogels,Circus aeruginosus,NULL,Bruine kiekendief,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Circus aeruginosus,Bruine kiekendief,Vogels,Circus aeruginosus,NULL,Bruine kiekendief,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Ixobrychus minutus,Woudaap,Vogels,Ixobrychus minutus,NULL,Woudaap,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Ixobrychus minutus,Woudaap,Vogels,Ixobrychus minutus,NULL,Woudaap,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Luscinia svecica,Blauwborst,Vogels,Luscinia svecica,NULL,Blauwborst,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Luscinia svecica,Blauwborst,Vogels,Luscinia svecica,NULL,Blauwborst,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Nycticorax nycticorax,Kwak,Vogels,Nycticorax nycticorax,NULL,Kwak,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Nycticorax nycticorax,Kwak,Vogels,Nycticorax nycticorax,NULL,Kwak,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Platalea leucorodia,Lepelaar,Vogels,Platalea leucorodia,NULL,Lepelaar,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Platalea leucorodia,Lepelaar,Vogels,Platalea leucorodia,NULL,Lepelaar,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Porzana porzana,Porseleinhoen,Vogels,Porzana porzana,NULL,Porseleinhoen,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Porzana porzana,Porseleinhoen,Vogels,Porzana porzana,NULL,Porseleinhoen,12,"traditioneel vijverbeheer groter dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
Subsidiebesluit,2017,1,Aeshna isoceles,Vroege glazenmaker,Libellen,Aeshna isoceles,NULL,Vroege glazenmaker,11,"traditioneel vijverbeheer kleiner dan 3 ha, met uitsluiting van het ruimen van het slib",en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,INBO,Subsidiebesluit,INBO,species,Europe,Belgium,Flanders,BE
