Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Alytes obstetricans;Vroedmeesterpad;Amfibieën;Alytes obstetricans;Laurenti, 1768;Vroedmeesterpad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Epidalea calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Hyla arborea;Boomkikker;Amfibieën;Hyla arborea;NULL;Boomkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Pelobates fuscus;Knoflookpad;Amfibieën;Pelobates fuscus;NULL;Knoflookpad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Pelophylax lessonae;Poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Rana arvalis;Heikikker;Amfibieën;Rana arvalis;NULL;Heikikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Amfibieën;Triturus cristatus;Kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Alcedo atthis;Ijsvogel;Vogels;Alcedo atthis;NULL;Ijsvogel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Anthus pratensis;Graspieper;Vogels;Anthus pratensis;NULL;Graspieper;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Anthus trivialis;Boompieper;Vogels;Anthus trivialis;NULL;Boompieper;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Botaurus stellaris;Roerdomp;Vogels;Botaurus stellaris;NULL;Roerdomp;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Bubo bubo;Oehoe;Vogels;Bubo bubo;NULL;Oehoe;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Caprimulgus europaeus;Nachtzwaluw;Vogels;Caprimulgus europaeus;NULL;Nachtzwaluw;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Certhia familiaris;Kortsnavelboomkruiper;Vogels;Certhia familiaris;NULL;Taigaboomkruiper;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Limburg;2021;1;Broedvogels;Ciconia ciconia;Ooievaar;Vogels;Ciconia ciconia;NULL;Ooievaar;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
