list,YearOfPublication,taxonListGroup,taxongroep,scientificName,scientificNameAuthorship,vernacularName,KenmerkCode,attribute,KenmerkwaardeCode,attributeValue,kingdom,listName
Soortenmeetnetten,2014,amfibieën,Amfibieën,Alytes obstetricans,"Laurenti, 1768",Vroedmeesterpad,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Epidalea calamita,NULL,Rugstreeppad,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Hyla arborea,NULL,Boomkikker,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Pelobates fuscus,NULL,Knoflookpad,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Pelophylax kl. esculentus,NULL,Bastaardkikker,MT,Type monitoring,LW,Losse waarnemingen,Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Pelophylax lessonae,"(Camerano, 1882)",Poelkikker,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Pelophylax ridibundus,NULL,Europese meerkikker,MT,Type monitoring,LW,Losse waarnemingen,Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Rana arvalis,NULL,Heikikker,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Rana temporaria,NULL,Bruine kikker,MT,Type monitoring,LW,Losse waarnemingen,Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Salamandra salamandra,NULL,Vuursalamander,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,amfibieën,Amfibieën,Triturus cristatus,"(Laurenti, 1768)",Kamsalamander,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Apatura iris,NULL,Grote weerschijnvlinder,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Cyaniris semiargus,NULL,Klaverblauwtje,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Erynnis tages,NULL,Bruin dikkopje,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Euphydryas aurinia,NULL,Moerasparelmoervlinder,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Hesperia comma,NULL,Kommavlinder,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Hipparchia semele,"(Linnaeus, 1758)",Heivlinder,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Lasiommata megera,NULL,Argusvlinder,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Melitaea cinxia,NULL,Veldparelmoervlinder,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Phengaris alcon,NULL,Gentiaanblauwtje,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Pyrgus malvae,NULL,Aardbeivlinder,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Pyronia tithonus,NULL,Oranje zandoogje,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,dagvlinders,Dagvlinders,Satyrium ilicis,NULL,Bruine eikenpage,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Aeshna isoceles,NULL,Vroege glazenmaker,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Calopteryx virgo,NULL,Bosbeekjuffer,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Coenagrion hastulatum,NULL,Speerwaterjuffer,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Coenagrion lunulatum,NULL,Maanwaterjuffer,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Coenagrion pulchellum,NULL,Variabele waterjuffer,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Stylurus flavipes,NULL,Rivierrombout,MT,Type monitoring,MNS,Meetnet (steekproef),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Gomphus vulgatissimus,NULL,Beekrombout,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Leucorrhinia caudalis,NULL,Sierlijke witsnuitlibel,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Leucorrhinia pectoralis,NULL,Gevlekte witsnuitlibel,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Somatochlora arctica,NULL,Hoogveenglanslibel,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,libellen,Libellen,Sympetrum depressiusculum,NULL,Kempense heidelibel,MT,Type monitoring,MNI,Meetnet (integraal),Animalia,checklist Meetnetten
Soortenmeetnetten,2014,mollusken,Weekdieren,Anisus (Disculifer) vorticulus,NULL,Platte schijfhoren,MT,Type monitoring,IS,Inhaalslag,Animalia,checklist Meetnetten
