datasetID,institutionCode,datasetName,scientificName,kingdom,phylum,genus,taxonRank,vernacularName,locality,countryCode,threatStatus,establishmentMeans,source,occurrenceRemarks,status
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Triturus alpestris,Animalia,Chordata,Ichthyosaura,species,Alpenwatersalamander,Flanders,BE,LC,native,Bauwens and Claus (1996),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Triturus helveticus,Animalia,Chordata,Lissotriton,species,Vinpootsalamander,Flanders,BE,NT,native,Bauwens and Claus (1996),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Triturus vulgaris,Animalia,Chordata,Lissotriton,species,Kleine watersalamander,Flanders,BE,LC,native,Bauwens and Claus (1996),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Pelobates fuscus,Animalia,Chordata,Pelobates,species,Knoflookpad,Flanders,BE,EN,native,Bauwens and Claus (1996),Bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Anergates atratulus,Animalia,Arthropoda,Anergates,species,Woekermier,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica rufibarbis,Animalia,Arthropoda,Formica,species,Rode baardmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica sanguinea,Animalia,Arthropoda,Formica,species,Bloedrode roofmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica transkaucasica,Animalia,Arthropoda,Formica,species,Veenmier,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formicoxenus nitidulus,Animalia,Arthropoda,Formicoxenus,species,Glanzende gastmier,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Hypoponera bondroiti,Animalia,Arthropoda,Hypoponera,species,Ergatoïde staafmier,Flanders,BE,NE,,Dekoninck et al. (2003),Niet geëvalueerd,Not Evaluated (NE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Hypoponera punctatissima,Animalia,Arthropoda,Hypoponera,species,Tropische staafmier,Flanders,BE,NE,,Dekoninck et al. (2003),Niet geëvalueerd,Not Evaluated (NE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius brunneus,Animalia,Arthropoda,Lasius,species,Boommier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius emarginatus,Animalia,Arthropoda,Lasius,species,Muurmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius flavus,Animalia,Arthropoda,Lasius,species,Gele weidemier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius fuliginosus,Animalia,Arthropoda,Lasius,species,Glanzende houtmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Camponotus vagus,Animalia,Arthropoda,Camponotus,species,Zwarte reuzenmier,Flanders,BE,NE,,Dekoninck et al. (2003),Niet geëvalueerd,Not Evaluated (NE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius jensi,Animalia,Arthropoda,Lasius,species,Puntschubmier,Flanders,BE,NT,native,Dekoninck et al. (2003),Geografisch beperkt,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius meridionalis,Animalia,Arthropoda,Lasius,species,Veldmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius mixtus,Animalia,Arthropoda,Lasius,species,Wintermier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius myops,Animalia,Arthropoda,Lasius,species,Kleinoogweidemier,Flanders,BE,DD,native,Dekoninck et al. (2003),Bedreigd maar mate waarin ongekend,Data Deficient (DD)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius neglectus,Animalia,Arthropoda,Lasius,species,Plaagmier,Flanders,BE,NE,,Dekoninck et al. (2003),Niet geëvalueerd,Not Evaluated (NE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius niger,Animalia,Arthropoda,Lasius,species,Wegmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius platythorax,Animalia,Arthropoda,Lasius,species,Humusmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius psammophilus,Animalia,Arthropoda,Lasius,species,Buntgrasmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius sabularum,Animalia,Arthropoda,Lasius,species,Breedschubmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lasius umbratus,Animalia,Arthropoda,Lasius,species,Schaduwmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica cunicularia,Animalia,Arthropoda,Formica,species,Bruine renmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Leptothorax acervorum,Animalia,Arthropoda,Leptothorax,species,Behaarde slankmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Leptothorax affinis,Animalia,Arthropoda,Leptothorax,species,Boomslankmier,Flanders,BE,NT,native,Dekoninck et al. (2003),Geografisch beperkt,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Leptothorax muscorum,Animalia,Arthropoda,Leptothorax,species,Mosslankmier,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Leptothorax nylanderi,Animalia,Arthropoda,Leptothorax,species,Bosslankmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Monomorium pharaonis,Animalia,Arthropoda,Monomorium,species,Faraomier,Flanders,BE,NE,,Dekoninck et al. (2003),Niet geëvalueerd,Not Evaluated (NE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmecina graminicola,Animalia,Arthropoda,Myrmecina,species,Oprolmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica lonae,Animalia,Arthropoda,Myrmica,species,Lepelsteekmier,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica microrubra,Animalia,Arthropoda,Myrmica,species,Gaststeekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica rubra,Animalia,Arthropoda,Myrmica,species,Gewone steekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica ruginodis,Animalia,Arthropoda,Myrmica,species,Bossteekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Formica fusca,Animalia,Arthropoda,Formica,species,Grauwzwarte mier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica rugulosa,Animalia,Arthropoda,Myrmica,species,Kleine steekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica sabuleti,Animalia,Arthropoda,Myrmica,species,Zandsteekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica scabrinodis,Animalia,Arthropoda,Myrmica,species,Moerassteekmier,Flanders,BE,LC,native,Dekoninck et al. (2003),Momenteel niet bedreigd,Least Concern (LC)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica schencki,Animalia,Arthropoda,Myrmica,species,Kokersteekmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica specioides,Animalia,Arthropoda,Myrmica,species,Duinsteekmier,Flanders,BE,VU,native,Dekoninck et al. (2003),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Myrmica sulcinodis,Animalia,Arthropoda,Myrmica,species,Heidesteekmier,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Polyergus rufescens,Animalia,Arthropoda,Polyergus,species,Amazonemier,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Ponera coarctata,Animalia,Arthropoda,Ponera,species,Gewone staafmier,Flanders,BE,EN,native,Dekoninck et al. (2003),Sterk bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Solenopsis fugax,Animalia,Arthropoda,Solenopsis,species,Diefmier,Flanders,BE,CR,native,Dekoninck et al. (2003),Met uitsterven bedreigd,Critically Endangered (CR)
