Lijst,NaamWet,taxongroep,scientificName,scientificNameAuthorship,vernacularName,KenmerkCode,Kenmerk,KenmerkwaardeCode,Kenmerkwaarde,kingdom
Provinciaal belangrijke soorten - Oost-Vlaanderen,Epidalea calamita,Amfibieën,Epidalea calamita,NULL,Rugstreeppad,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Salamandra salamandra,Amfibieën,Salamandra salamandra,NULL,Vuursalamander,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Triturus cristatus,Amfibieën,Triturus cristatus,"(Laurenti, 1768)",Kamsalamander,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Aegithalos caudatus,Vogels,Aegithalos caudatus,NULL,Staartmees,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Alcedo atthis,Vogels,Alcedo atthis,NULL,Ijsvogel,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Anthus pratensis,Vogels,Anthus pratensis,NULL,Graspieper,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Anthus trivialis,Vogels,Anthus trivialis,NULL,Boompieper,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Athene noctua,Vogels,Athene noctua,NULL,Steenuil,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Botaurus stellaris,Vogels,Botaurus stellaris,NULL,Roerdomp,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Bubo bubo,Vogels,Bubo bubo,NULL,Oehoe,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Caprimulgus europaeus,Vogels,Caprimulgus europaeus,NULL,Nachtzwaluw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Charadrius alexandrinus,Vogels,Charadrius alexandrinus,NULL,Strandplevier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Ciconia ciconia,Vogels,Ciconia ciconia,NULL,Ooievaar,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Circus aeruginosus,Vogels,Circus aeruginosus,NULL,Bruine kiekendief,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Crex crex,Vogels,Crex crex,NULL,Kwartelkoning,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Cyanecula svecica,Vogels,Luscinia svecica,NULL,Blauwborst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Dryocopus martius,Vogels,Dryocopus martius,NULL,Zwarte specht,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Falco peregrinus,Vogels,Falco peregrinus,NULL,Slechtvalk,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Gallinago gallinago,Vogels,Gallinago gallinago,NULL,Watersnip,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Haematopus ostralegus,Vogels,Haematopus ostralegus,NULL,Scholekster,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Himantopus himantopus,Vogels,Himantopus himantopus,NULL,Steltkluut,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Hirundo rustica,Vogels,Hirundo rustica,NULL,Boerenzwaluw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Ichtyaetus melanocephalus,Vogels,Ichthyaetus melanocephalus,NULL,Zwartkopmeeuw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Ixobrychus minutus,Vogels,Ixobrychus minutus,NULL,Woudaap,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Leiopicus medius,Vogels,Dendrocoptes medius,NULL,Middelste bonte specht,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Locustella luscinioides,Vogels,Locustella luscinioides,NULL,Snor,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Lullula arborea,Vogels,Lullula arborea,NULL,Boomleeuwerik,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Oost-Vlaanderen,Luscinia megarhynchos,Vogels,Luscinia megarhynchos,NULL,Nachtegaal,PBS,Provinciaal belangrijke soorten,HS,Habitattypische soort,Animalia
