Lijst,NaamWet,taxongroep,scientificName,scientificNameAuthorship,vernacularName,KenmerkCode,Kenmerk,KenmerkwaardeCode,Kenmerkwaarde,kingdom
Provinciaal belangrijke soorten - Vlaams-Brabant,Alytes obstetricans,Amfibieën,Alytes obstetricans,"Laurenti, 1768",Vroedmeesterpad,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Epidalea calamita,Amfibieën,Epidalea calamita,NULL,Rugstreeppad,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Triturus cristatus,Amfibieën,Triturus cristatus,"(Laurenti, 1768)",Kamsalamander,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Alauda arvensis,Vogels,Alauda arvensis,NULL,Veldleeuwerik,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Alcedo atthis,Vogels,Alcedo atthis,NULL,Ijsvogel,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Botaurus stellaris,Vogels,Botaurus stellaris,NULL,Roerdomp,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Caprimulgus europaeus,Vogels,Caprimulgus europaeus,NULL,Nachtzwaluw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Circus cyaneus,Vogels,Circus cyaneus,NULL,Blauwe kiekendief,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Circus pygargus,Vogels,Circus pygargus,NULL,Grauwe kiekendief,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Crex crex,Vogels,Crex crex,NULL,Kwartelkoning,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Delichon urbica,Vogels,Delichon urbicum,NULL,Huiszwaluw,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Emberiza calandra,Vogels,Emberiza calandra,NULL,Grauwe gors,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Emberiza citrinella,Vogels,Emberiza citrinella,NULL,Geelgors,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Gallinago gallinago,Vogels,Gallinago gallinago,NULL,Watersnip,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Ixobrychus minutus,Vogels,Ixobrychus minutus,NULL,Woudaap,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Jynx torquilla,Vogels,Jynx torquilla,NULL,Draaihals,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Lanius collurio,Vogels,Lanius collurio,NULL,Grauwe klauwier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Lullula arborea,Vogels,Lullula arborea,NULL,Boomleeuwerik,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Parus montanus,Vogels,Poecile montanus,NULL,Matkop,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Perdix perdix,Vogels,Perdix perdix,NULL,Patrijs,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Porzana porzana,Vogels,Porzana porzana,NULL,Porseleinhoen,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Pyrrhula pyrrhula,Vogels,Pyrrhula pyrrhula,NULL,Goudvink,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Recurvirostra avosetta,Vogels,Recurvirostra avosetta,NULL,Kluut,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Saxicola rubetra,Vogels,Saxicola rubetra,NULL,Paapje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Turdus pilaris,Vogels,Turdus pilaris,NULL,Kramsvogel,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Apatura iris,Dagvlinders,Apatura iris,NULL,Grote weerschijnvlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Lycaena tityrus,Dagvlinders,Lycaena tityrus,NULL,Bruine vuurvlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Thecla betulae,Dagvlinders,Thecla betulae,NULL,Sleedoornpage,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Chaenotheca chlorella,Korstmossen,Chaenotheca chlorella,NULL,Klein schorssteeltje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Enterographa crassa,Korstmossen,Enterographa crassa,NULL,Grauwe runenkorst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Enterographa hutchinsiae,Korstmossen,Enterographa hutchinsiae,NULL,Gestreepte runenkorst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Fellhaneropsis vezdae,Korstmossen,Fellhaneropsis vezdae,NULL,Naaldenkorst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Graphis scripta,Korstmossen,Graphis scripta,NULL,Gewoon schriftmos,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Lecanactis abietina,Korstmossen,Lecanactis abietina,NULL,Maleboskorst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Opegrapha vermicellifera,Korstmossen,Opegrapha vermicellifera,NULL,Gestippeld schriftmos,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Pertusaria albescens,Korstmossen,Pertusaria albescens,NULL,Witte kringkorst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Pertusaria leioplaca,Korstmossen,Pertusaria leioplaca,NULL,Glad speldenkussentje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Pertusaria pertusa,Korstmossen,Pertusaria pertusa,NULL,Gewoon speldenkussentje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Porina leptalea,Korstmossen,Porina leptalea,NULL,Bruin olievlekje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Pyrenula nitida,Korstmossen,Pyrenula nitida,NULL,Beukenknikker,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Strigulla jamesii,Korstmossen,Strigulla jamesii,NULL,NULL,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Thelotrema lepadinum,Korstmossen,Thelotrema lepadinum,NULL,Beukenwrat,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Plantae
Provinciaal belangrijke soorten - Vlaams-Brabant,Epilachna argus,Lieveheersbeestjes,Henosepilachna argus,NULL,Heggenranklieveheersbeestje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Subcoccinella vigintiquatuorpunctata,Lieveheersbeestjes,Subcoccinella vigintiquatuorpunctata,NULL,Vierentwintigstippelig lieveheersbeestje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Abax ovalis,Loopkevers,Abax ovalis,NULL,Ovale breedborst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Abax parallelus,Loopkevers,Abax parallelus,NULL,Rechte breedborst,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Amara montivaga,Loopkevers,Amara montivaga,NULL,Bergglimmer,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Asaphidion pallipes,Loopkevers,Asaphidion pallipes,NULL,Zandgrootoogkever,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Bembidion stomoides,Loopkevers,Bembidion stomoides,NULL,Grote smalnekpriemkever,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Carabus auronitens,Loopkevers,Carabus auronitens,NULL,Goudglanzende schallebijter,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Carabus coriaceus,Loopkevers,Carabus coriaceus,NULL,Lederschallebijter,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Cychrus attenuatus,Loopkevers,Cychrus attenuatus,NULL,Glanzende slakkenloopkever,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Dyschirius intermedius,Loopkevers,Dyschirius intermedius,NULL,Leemgravertje,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Harpalus modestus,Loopkevers,Harpalus modestus,NULL,Vijfdoornkruiper,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Harpalus nitidulus,Loopkevers,Harpalus nitidulus,NULL,NULL,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Molops piceus,Loopkevers,Molops piceus,NULL,Pekbruine bosloper,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Zabrus tenebrioides,Loopkevers,Zabrus tenebrioides,NULL,Gewone graanloper,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,
Provinciaal belangrijke soorten - Vlaams-Brabant,Polyergus rufescens,Mieren,Polyergus rufescens,NULL,Amazonemier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Ponera coarctata,Mieren,Ponera coarctata,NULL,Gewone staafmier,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Vertigo moulinsiana,Weekdieren,Vertigo moulinsiana,NULL,Zeggenkorfslak,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Aglia tau,Nachtvlinders,Aglia tau,NULL,Tauvlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Aleucis distinctata,Nachtvlinders,Aleucis distinctata,NULL,Prunusspanner,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Amata phegea,Nachtvlinders,Amata phegea,NULL,Phegeavlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Callimorpha dominula,Nachtvlinders,Callimorpha dominula,NULL,Bonte beer,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Cerastis leucographa,Nachtvlinders,Cerastis leucographa,NULL,Witringuil,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Drymonia obliterata,Nachtvlinders,Drymonia obliterata,NULL,Beukentandvlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Euplagia quadripunctaria,Nachtvlinders,Euplagia quadripunctaria,NULL,Spaanse vlag,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
Provinciaal belangrijke soorten - Vlaams-Brabant,Hemistola chrysoprasaria,Nachtvlinders,Hemistola chrysoprasaria,NULL,Tere zomervlinder,PBS,Provinciaal belangrijke soorten,PS,Prioritaire soort,Animalia
