Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Soortenmeetnetten;2014;1;amfibieën;Alytes obstetricans;vroedmeesterpad;Amfibieën;Alytes obstetricans;Laurenti, 1768;Vroedmeesterpad;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;amfibieën;Bufo calamita;rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;amfibieën;Hyla arborea;boomkikker;Amfibieën;Hyla arborea;NULL;Boomkikker;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;amfibieën;Pelobates fuscus;knoflookpad;Amfibieën;Pelobates fuscus;NULL;Knoflookpad;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;amfibieën;Pelophylax kl. esculentus;bastaardkikker;Amfibieën;Pelophylax kl. esculentus;NULL;Bastaardkikker;MT;Type monitoring;LW;Losse waarnemingen
Soortenmeetnetten;2014;1;amfibieën;Pelophylax lessonae;poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;amfibieën;Pelophylax ridibundus;meerkikker;Amfibieën;Pelophylax ridibundus;NULL;Europese meerkikker;MT;Type monitoring;LW;Losse waarnemingen
Soortenmeetnetten;2014;1;amfibieën;Rana arvalis;heikikker;Amfibieën;Rana arvalis;NULL;Heikikker;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;amfibieën;Rana temporaria;bruine kikker;Amfibieën;Rana temporaria;NULL;Bruine kikker;MT;Type monitoring;LW;Losse waarnemingen
Soortenmeetnetten;2014;1;amfibieën;Salamandra salamandra;vuursalamander;Amfibieën;Salamandra salamandra;NULL;Vuursalamander;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;amfibieën;Triturus cristatus;kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;dagvlinders;Apatura iris;grote weerschijnvlinder;Dagvlinders;Apatura iris;NULL;Grote weerschijnvlinder;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Cyaniris semiargus;klaverblauwtje;Dagvlinders;Cyaniris semiargus;NULL;Klaverblauwtje;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Erynnis tages;bruin dikkopje;Dagvlinders;Erynnis tages;NULL;Bruin dikkopje;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Euphydryas aurinia;moerasparelmoervlinder;Dagvlinders;Euphydryas aurinia;NULL;Moerasparelmoervlinder;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Hesperia comma;kommavlinder;Dagvlinders;Hesperia comma;NULL;Kommavlinder;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Hipparchia semele;heivlinder;Dagvlinders;Hipparchia semele;(Linnaeus, 1758);Heivlinder;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;dagvlinders;Lasiommata megera;argusvlinder;Dagvlinders;Lasiommata megera;NULL;Argusvlinder;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;dagvlinders;Melitaea cinxia;veldparelmoervlinder;Dagvlinders;Melitaea cinxia;NULL;Veldparelmoervlinder;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Phengaris alcon;gentiaanblauwtje;Dagvlinders;Phengaris alcon;NULL;Gentiaanblauwtje;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Pyrgus malvae;aardbeivlinder;Dagvlinders;Pyrgus malvae;NULL;Aardbeivlinder;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;dagvlinders;Pyronia tithonus;oranje zandoogje;Dagvlinders;Pyronia tithonus;NULL;Oranje zandoogje;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;dagvlinders;Satyrium ilicis;bruine eikenpage;Dagvlinders;Satyrium ilicis;NULL;Bruine eikenpage;MT;Type monitoring;MNI;Meetnet (integraal)
Soortenmeetnetten;2014;1;libellen;Aeshna isoceles;vroege glazenmaker;Libellen;Aeshna isoceles;NULL;Vroege glazenmaker;MT;Type monitoring;MNS;Meetnet (steekproef)
Soortenmeetnetten;2014;1;libellen;Calopteryx virgo;bosbeekjuffer;Libellen;Calopteryx virgo;NULL;Bosbeekjuffer;MT;Type monitoring;MNS;Meetnet (steekproef)
