language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,isMarine,isFreshwater,isTerrestrial
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:007b4b6cff9853744af4bac5faf03b72,"Thecaphora oxalidis (Ellis & Tracy) M. Lutz, R. Bauer & Piątek",Fungi,Basidiomycota,,Ustilaginales,Glomosporiaceae,Thecaphora,species,ICN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0113e8281580f229efe4a76588c63cec,Ectopsocus briggsi,Animalia,Arthropoda,Insecta,Psocoptera,,,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:02127ef216ec86a6df37669a0da367e8,"Gryllomorpha dalmatina (Ocskay, 1832)",Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllomorpha,species,ICZN,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:02127ef216ec86a6df37669a0da367e8,"Gryllomorpha dalmatina (Ocskay, 1832)",Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllomorpha,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0338bf66bffd36ae51953987b1e327cd,"Orthodontium lineare Schwaegrichen, 1827",Plantae,Bryophyta,,,,,species,ICN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,,1945/,Stieperaere & Jacques 1995,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0338bf66bffd36ae51953987b1e327cd,"Orthodontium lineare Schwaegrichen, 1827",Plantae,Bryophyta,,,,,species,ICN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,established,,,"De Zuttere Ph. & Schumacker R., 1980. L'extension d'Orthodontium lineare Schw?gr. subsp. lineare en Belgique et au Grand-Duch? de Luxembourg. Dumortiera 14-15 :15-22.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:04550900e0ce353b63b12f0efb7a5a0d,Corbicula fluminalis,Animalia,Mollusca,,,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,"Swinnen et al., 1998",,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:04f0fa33aab56bd2c92b381eeda83b7b,"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,invasive,biologicalControl,2001/,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:04f0fa33aab56bd2c92b381eeda83b7b,"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,invasive,biologicalControl,2002/,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:04f0fa33aab56bd2c92b381eeda83b7b,"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,invasive,biologicalControl,2001/,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",FALSE,FALSE,TRUE
