language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,isMarine,isFreshwater,isTerrestrial
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:05fac09d962d4db66a618110aab48f8e,Favolaschia calocera R.Heim,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,timberTrade,,https://www.natuurpunt.be/nieuws/favolaschia-calocera-een-nieuwkomer-uit-de-tropen-20191031,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:06ce867cb112da7d0ace77f9ef261afc,Testacella haliotidea,Animalia,Mollusca,,,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,,,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0aa2069e0be99ab8196b654c11db1162,Trogium pulsatorium,Animalia,Arthropoda,Insecta,Psocoptera,,,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0bcd26f38390fe99c643104b28217c02,"Cryptachaea blattea (Urquhart, 1886)",Animalia,Arthropoda,Arachnida,,Theridiidae,Cryptachaea,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,reproducing,,2002/,"Vanuytven, H. 2004. Achaearanea acoreensis (Berland, 1932), een zuiderse immigrant (Araneae, Theridiidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 19(3):85-86.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0bd36fa88a3080c7e98593020f71fb91,"Hoplopleura erismata Ferris, 1921",Animalia,Arthropoda,Insecta,Phthiraptera,Hoplopleuridae,Hoplopleura,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,parasitesOnAnimals,2004/,"Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0c00a7f95bf886620aaf230ef19c4702,"Tetramorium bicarinatum (Nylander, 1846)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,established,,,"Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0c166dc873f97eab93817203eac24df6,Volvariella volvacea (Bull.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,species,,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,agriculture,,https://www.natuurpunt.be/nieuws/tropische-beurszwam-voor-het-eerst-belgi%C3%AB-20181027,,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5,"Cheiracanthium furculatum Karsch, 1879",Animalia,Arthropoda,Arachnida,,Eutichuridae,Cheiracanthium,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,transported,,2013/,"Bosselaers, J., 2013. An alien in the grapes: a potentially agressive African spider imported into Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 28: 22-28.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0dd3e2449fdc2910d308e6f56e22a8f0,Echinothrips americanus Morgan 1913,Animalia,Arthropoda,Insecta,Thysanoptera,,,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0e0462e484d3f0bbb46899c33a86728e,"Caenoplana coerulea Moseley, 1877",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Dolichoplana,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,captive,contaminantNursery,,Tom Van den Neucker,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:0fe740ff557affb6d9a0ea829cbf68bd,Milax gagates,Animalia,Mollusca,,,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,,,,,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:10b25b3a18eaac42cac983b0ad76cf5b,"Ischnura senegalensis Rambur, 1842",Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,contaminantOnPlants,2013/,"Adriaens, T., and G. De Knijf. 2015. A first report of introduced non-native damselfly species (Zygoptera, Coenagrionidae) for Belgium. Belg. J. Zool 145:76-80.",FALSE,TRUE,FALSE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:10eddc4a0f489767d644ad73a2551805,"Bellamya chinensis (Gray, 1834)",Animalia,Mollusca,,,,Bellamya,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,pet,2016/,"Van den Neucker T, Schildermans T, Scheers K. 2017. The invasive Chinese mystery snail Bellamya chinensis (Gastropoda: Viviparidae) expands its European range to Belgium. Knowl. Manag. Aquat. Ecosyst., 418, 8. https://doi.org/10.1051/kmae/2016040",FALSE,TRUE,FALSE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:10f2c21e38d910bcc489e526cb5706da,Corbicula fluminea,Animalia,Mollusca,,,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,"Swinnen et al., 1998",,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:13804ff422c60a29bcdec99bf90e6a6b,"Enderleinellus kumadai Kaneko, 1954",Animalia,Arthropoda,Insecta,Phthiraptera,Enderleinellidae,Enderleinellus,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,parasitesOnAnimals,2004/,"Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:141b6c7581c959646f49e695c7b73ec9,Ambigolimax valentianus,Animalia,Mollusca,,,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,,,,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:14de6c057a4723e3fda744e7ac82e408,"Kontikia ventrolineata (Dendy, 1892)",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Kontikia,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,captive,contaminantNursery,,Tom Van den Neucker,FALSE,TRUE,FALSE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:15045813ec428b9f08ee3cc50a3364f7,Psoquilla marginepunctata,Animalia,Arthropoda,Insecta,Psocoptera,,,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:162ff8e7ac05a6364d9638211243fc0c,"Cydalima perspectalis (Walker, 1859)",Animalia,Arthropoda,Insecta,Lepidoptera,,Cydalima,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:162ff8e7ac05a6364d9638211243fc0c,"Cydalima perspectalis (Walker, 1859)",Animalia,Arthropoda,Insecta,Lepidoptera,,Cydalima,species,ICZN,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,,,,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:163341620b597b184210c02024ddb74e,"Grammostola rosea (Walckenaer, 1837)",Animalia,Arthropoda,Arachnida,,Theraphosidae,Grammostola,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2008/,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 25(3): 210-214.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:164b5379d3a5474bbc46a2b412e7c4b8,"Latrodectus geometricus C.L. Koch, 1841",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,transported,containerBulk,2006/,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:16b68bf0f56a690b763ce5d4252d9112,"Acanalonia conica (Say, 1830)",Animalia,Arthropoda,Insecta,Hemiptera,Acaloniidae,Acalonia,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,contaminantOnPlants,2021/,,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:173853858071ce0d5c9852c9199a45e0,"Cupiennus getazi Simon, 1891",Animalia,Arthropoda,Arachnida,,Ctenidae,Cupiennius,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,1991/,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:17ac6361b3856c9e3969b996536956c0,"Chrysolina americana (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Coleoptera,Chysomelidae,Chrysomela,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,established,,,"Lays, P. Chrysolina americana a Mediterranean leaf-beetle species recorded for the first time in Belgium. Bulletin en Annalen van de Koninklijke Belgische Vereniging voor Entomologie (1988).",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:17d369e9c1242ea84a1eb4619371f3f4,"Heteropoda venatoria (Linnaeus, 1767)",Animalia,Arthropoda,Arachnida,,Sparassidae,Heteropoda,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,transported,,1999/,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:183a5311d01a271639b3f6951ddf9bcb,"Nicoletia phytophila Gervais, 1844",Animalia,Arthropoda,Insecta,Zygentoma,,,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,,"Lock, K. (2017) Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153 (2017): 21–22",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:19bb4852670d1077cb54b1fabb7a46d8,"Hasarius adansoni (Audouin, 1826)",Animalia,Arthropoda,Arachnida,,Salticidae,Hasarius,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,,2001/,"Kekenbosch, R. 2008. Captures d'Hasarius adansoni (Audoin, 1826) et de Thanatus vulgaris (Simon, 1870). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):26-27.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,"Camponotus vagus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,timberTrade,,"Dekoninck W, Pauly A., 2002, Camponotus vagus Scopoli, 1763 (Hymenoptera Formicidae) a new ant species for Belgium? Bulletin de la Société royale belge d'Entomologie; 138:29-30.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1a0dc59ccbd186216aade582fbb535cc,Entyloma eschscholtziae Harkn.,Fungi,Basidiomycota,,Entylomatales,Entylomataceae,Entyloma,species,ICN,ISO_3166-2:BE,Belgium,BE,present,introduced,,,,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1ac9568bc799861c6e8be58c55f3db9c,"Callopistria floridensis Guenée, 1852",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Callopistria,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,,,2016/,observation unpubl.,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1b988f861a719376564d0cfd37c14c39,"Hippodamia convergens Guérin-Meneville, 1842",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,species,ICZN,ISO_3166-2:BE,Belgium,BE,present,introduced,cultivated,biologicalControl,,Helen Roy & Alain Migeon (2018) BioRisk 4(1): 293–313. https://doi.org/10.3897/biorisk.4.49,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1c60e51c85f9ab77fedde4e3e6141142,Cerbalus,Animalia,Arthropoda,Arachnida,,Sparassidae,Cerbalus,genus,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2000/,"Lambrechts, J. & Janssen, M. 2001. De arachnofauna van het Vlaams natuurreservaat 'Houterenberg-Pinnekenswijer'. Nieuwsbrief van de Belgische Arachnologische Vereniging, 13(3):87-100.",FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1e9f0f5e781d6e595e1b7bfae4d00b88,Spiranthes cernua x S. odorata,Plantae,Embryophyta,,Asparagales,Orchidaceae,Spiranthes,species,ICN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,horticulture,2014/,in press Natuur.focus,FALSE,FALSE,TRUE
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/3pmlxs,INBO,Ad hoc checklist of alien species in Belgium,ad-hoc-checklist:taxon:1ec101c30e77e89cfd06a81f284b2e8d,"Pholcus opilionoides  (Schrank, 1781)",Animalia,Arthropoda,Arachnida,,Pholcidae,Pholcus,species,ICZN,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,,2003/,"Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83.",FALSE,FALSE,TRUE
