scientificName,vernacularName,threatStatus,kingdom,establishmentMeans,locality,family
"Colias croceus (Geoffroy, 1785)",Oranje luzernevlinder,Niet geëvalueerd,Animalia,native,Flanders,Pieridae
"Colias hyale (Linnaeus, 1758)",Gele luzernevlinder,Niet geëvalueerd,Animalia,native,Flanders,Pieridae
"Gonepteryx rhamni (Linnaeus, 1758)",Citroenvlinder,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Anthocharis cardamines (Linnaeus, 1758)",Oranjetipje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Leptidea sinapis (Linnaeus, 1758)",Boswitje,Critically Endangered (CR),Animalia,native,Flanders,Pieridae
"Pieris brassicae (Linnaeus, 1758)",Groot koolwitje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Pieris napi (Linnaeus, 1758)",Klein geaderd witje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Pieris rapae (Linnaeus, 1758)",Klein koolwitje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Aporia crataegi (Linnaeus, 1758)",Groot geaderd witje,Uitgestorven in Vlaanderen,Animalia,native,Flanders,Pieridae
"Colias croceus (Geoffroy, 1785)",Oranje luzernevlinder,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Colias hyale (Linnaeus, 1758)",Gele luzernevlinder,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Gonepteryx rhamni (Linnaeus, 1758)",Citroenvlinder,Near Threatened (NT),Animalia,native,Flanders,Pieridae
"Anthocharis cardamines (Linnaeus, 1758)",Oranjetipje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Leptidea sinapis (Linnaeus, 1758)",Boswitje,Near Threatened (NT),Animalia,native,Flanders,Pieridae
"Pieris brassicae (Linnaeus, 1758)",Groot koolwitje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Pieris napi (Linnaeus, 1758)",Klein geaderd witje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Pieris rapae (Linnaeus, 1758)",Klein koolwitje,Least Concern (LC),Animalia,native,Flanders,Pieridae
"Aporia crataegi (Linnaeus, 1758)",Groot geaderd witje,Uitgestorven in Vlaanderen,Animalia,native,Flanders,Pieridae
