taxonID,vernacularName,references,license,datasetID,scientificName,order,phylum,kingdom,genus,class,family,occurrenceRemarks,eventDate,source,locality,countryCode,locationID,threatStatus,establishmentMeans,status
INBO_RL_BUT_1996_VAL_1,Dagpauwoog,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Inachis io (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Aglais,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_BUT_1996_VAL_10,Duinparelmoervlinder,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Argynnis niobe Linnaeus, 1761",Lepidoptera,Arthropoda,Animalia,Fabriciana,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Uitgestorven in Vlaanderen,native,Uitgestorven in Vlaanderen
INBO_RL_BUT_1996_VAL_11,Keizersmantel,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Argynnis paphia (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Argynnis,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Critically Endangered (CR),native,Critically Endangered (CR)
INBO_RL_BUT_1996_VAL_12,Bruin blauwtje,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Aricia agestis (Denis & SchiffermÃ¼ller), 1775",Lepidoptera,Arthropoda,Animalia,Aricia,Insecta,Lycaenidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_BUT_1996_VAL_13,Zilvervlek,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Boloria euphrosyne (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Clossiana,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Uitgestorven in Vlaanderen,native,Uitgestorven in Vlaanderen
INBO_RL_BUT_1996_VAL_14,Zilveren maan,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Boloria selene (Denis & SchiffermÃ¼ller), 1775",Lepidoptera,Arthropoda,Animalia,Boloria,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Critically Endangered (CR),native,Critically Endangered (CR)
INBO_RL_BUT_1996_VAL_15,Groentje,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Callophrys rubi (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Callophrys,Insecta,Lycaenidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_BUT_1996_VAL_16,Bont dikkopje,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Carterocephalus palaemon (Pallas, 1771)",Lepidoptera,Arthropoda,Animalia,Carterocephalus,Insecta,Hesperiidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_BUT_1996_VAL_17,Boomblauwtje,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Celastrina argiolus (Linnaeus, 1758)",Lepidoptera,Arthropoda,Animalia,Celastrina,Insecta,Lycaenidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_BUT_1996_VAL_18,Zilverstreephooibeestje,Maes_VanDyck_1999,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Coenonympha hero (Linnaeus, 1761)",Lepidoptera,Arthropoda,Animalia,Coenonympha,Insecta,Nymphalidae,,1996,Maes_VanDyck_1999,Flanders,BE,ISO_3166-2:BE-VLG,Uitgestorven in Vlaanderen,native,Uitgestorven in Vlaanderen
