taxonID,vernacularName,references,license,datasetID,scientificName,order,phylum,kingdom,genus,class,family,occurrenceRemarks,eventDate,source,locality,countryCode,locationID,threatStatus,establishmentMeans,status
INBO_RL_AMP_2013_VAL_1,Vroedmeesterpad,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Alytes obstetricans (Laurenti, 1768)",Anura,Chordata,Animalia,Alytes,Amphibia,Alytidae,B2a(i)b(iii)c(iv);C2a(i),2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Endangered (EN),native,Endangered (EN)
INBO_RL_AMP_2013_VAL_10,Bastaardkikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Pelophylax Fitzinger, 1843",Anura,Chordata,Animalia,Pelophylax,Amphibia,Ranidae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_11,Poelkikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Pelophylax lessonae (Camerano, 1882)",Anura,Chordata,Animalia,Pelophylax,Amphibia,Ranidae,"A2c;B2a(i)b(ii,iii)",2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Near Threatened (NT),native,Near Threatened (NT)
INBO_RL_AMP_2013_VAL_12,Europese meerkikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Pelophylax ridibundus (Pallas, 1771)",Anura,Chordata,Animalia,Pelophylax,Amphibia,Ranidae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_13,Heikikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Rana arvalis Nilsson, 1842",Anura,Chordata,Animalia,Rana,Amphibia,Ranidae,B2a(i)b(iii),2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_AMP_2013_VAL_14,Bruine kikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Rana temporaria Linnaeus, 1758",Anura,Chordata,Animalia,Rana,Amphibia,Ranidae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_15,Vuursalamander,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Salamandra salamandra (Linnaeus, 1758)",Caudata,Chordata,Animalia,Salamandra,Amphibia,Salamandridae,B2a(i)b(iii);C2a(i),2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_AMP_2013_VAL_16,Kamsalamander,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Triturus cristatus (Laurenti, 1768)",Caudata,Chordata,Animalia,Triturus,Amphibia,Salamandridae,"A2c;B2a(i)b(ii,iii)",2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_AMP_2013_VAL_2,Geelbuikvuurpad,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Bombina variegata (Linnaeus, 1758)",Anura,Chordata,Animalia,Bombina,Amphibia,Bombinatoridae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Regionally Extinct (EX),native,Regionally Extinct (EX)
INBO_RL_AMP_2013_VAL_3,Gewone pad,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Bufo bufo (Linnaeus, 1758)",Anura,Chordata,Animalia,Bufo,Amphibia,Bufonidae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_4,Rugstreeppad,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Bufo calamita Laurenti, 1768",Anura,Chordata,Animalia,Epidalea,Amphibia,Bufonidae,B2a(i);C2a(i),2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native,Vulnerable (VU)
INBO_RL_AMP_2013_VAL_5,Boomkikker,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Hyla arborea (Linnaeus, 1758)",Anura,Chordata,Animalia,Hyla,Amphibia,Hylidae,B2a(i)b(iii)c(iv);C2a(i),2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Critically Endangered (CR),native,Critically Endangered (CR)
INBO_RL_AMP_2013_VAL_6,Alpenwatersalamander,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Ichthyosaura alpestris (Laurenti, 1768)",Caudata,Chordata,Animalia,Ichthyosaura,Amphibia,Salamandridae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_7,Vinpootsalamander,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Lissotriton helveticus (Razoumovsky, 1789)",Caudata,Chordata,Animalia,Lissotriton,Amphibia,Salamandridae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
INBO_RL_AMP_2013_VAL_8,Kleine watersalamander,Jooris_etal_2012,http://creativecommons.org/publicdomain/zero/1.0/,https://doi.org/10.15468/8tk3tk,"Lissotriton vulgaris (Linnaeus, 1758)",Caudata,Chordata,Animalia,Lissotriton,Amphibia,Salamandridae,,2013,Jooris_etal_2012,Flanders,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native,Least Concern (LC)
