"Supplied Name","guid","scientificName","family","kingdom","Designation"
"Sylvia nisoria","NHMSYS0021311407","Curruca nisoria","Sylviidae","Animalia","Annex 1"
"Anser erythropus","NBNSYS0000000258","Anser erythropus","Anatidae","Animalia","Annex 1"
"Anas querquedula","NHMSYS0021276106","Spatula querquedula","Anatidae","Animalia","Annex 2.1"
"Ficedula parva","NHMSYS0000530363","Ficedula parva","Muscicapidae","Animalia","Annex 1"
"Anas clypeata","NHMSYS0021276051","Spatula clypeata","Anatidae","Animalia","Annex 2.1"
"Tetrao urogallus","NHMSYS0000530659","Tetrao urogallus","Phasianidae","Animalia","Annex 1, Annex 2.2"
"Pelagodroma marina","NHMSYS0000530546","Pelagodroma marina","Hydrobatidae","Animalia","Annex 1"
"Columba livia","NHMSYS0000530307","Columba livia","Columbidae","Animalia","Annex 2.1"
"Aegolius funereus","NHMSYS0000530135","Aegolius funereus","Strigidae","Animalia","Annex 1"
"Calidris alpina subsp. schinzii","NHMSYS0020302971","Calidris alpina schinzii","Scolopacidae","Animalia","Annex 1"
"Sterna paradisaea","NBNSYS0000000365","Sterna paradisaea","Laridae","Animalia","Annex 1"
"Porzana pusilla","NHMSYS0021311287","Zapornia pusilla","Rallidae","Animalia","Annex 1"
"Cursorius cursor","NHMSYS0000530326","Cursorius cursor","Glareolidae","Animalia","Annex 1"
"Streptopelia turtur","NHMSYS0000530623","Streptopelia turtur","Columbidae","Animalia","Annex 2.2"
"Turdus iliacus","NHMSYS0000530673","Turdus iliacus","Turdidae","Animalia","Annex 2.2"
"Haematopus ostralegus","NBNSYS0000000026","Haematopus ostralegus","Charadriidae","Animalia","Annex 2.2"
"Numenius phaeopus","NBNSYS0000000144","Numenius phaeopus","Scolopacidae","Animalia","Annex 2.2"
"Oceanodroma leucorhoa","NHMSYS0021537808","Hydrobates leucorhous","Hydrobatidae","Animalia","Annex 1"
"Turdus philomelos","NHMSYS0000530678","Turdus philomelos","Turdidae","Animalia","Annex 2.2"
"Aythya marila","NBNSYS0000000193","Aythya marila","Anatidae","Animalia","Annex 2.2"
"Columba palumbus","NHMSYS0000530309","Columba palumbus","Columbidae","Animalia","Annex 2.1"
"Limosa lapponica","NBNSYS0000000146","Limosa lapponica","Scolopacidae","Animalia","Annex 1, Annex 2.2"
"Garrulus glandarius","NHMSYS0000530374","Garrulus glandarius","Corvidae","Animalia","Annex 2.2"
"Turdus merula","NHMSYS0000530674","Turdus merula","Turdidae","Animalia","Annex 2.2"
"Sylvia undata","NHMSYS0021311432","Curruca undata","Sylviidae","Animalia","Annex 1"
"Asio flammeus","NHMSYS0000530180","Asio flammeus","Strigidae","Animalia","Annex 1"
"Bubo bubo","NHMSYS0000532935","Bubo bubo","Strigidae","Animalia","Annex 1"
"Bulweria bulwerii","NHMSYS0000530221","Bulweria bulwerii","Procellariidae","Animalia","Annex 1"
"Platalea leucorodia","NBNSYS0000000255","Platalea leucorodia","Threskiornithidae","Animalia","Annex 1"
"Mergus merganser","NBNSYS0000000128","Mergus merganser","Anatidae","Animalia","Annex 2.2"
"Anthus campestris","NHMSYS0000530152","Anthus campestris","Motacillidae","Animalia","Annex 1"
"Calandrella brachydactyla","NHMSYS0000530230","Calandrella brachydactyla","Alaudidae","Animalia","Annex 1"
"Gavia arctica","NBNSYS0000000219","Gavia arctica","Gaviidae","Animalia","Annex 1"
"Anas strepera","NHMSYS0021276116","Mareca strepera","Anatidae","Animalia","Annex 2.1"
"Recurvirostra avosetta","NBNSYS0000000154","Recurvirostra avosetta","Recurvirostridae","Animalia","Annex 1"
"Ardeola ralloides","NHMSYS0000530175","Ardeola ralloides","Ardeidae","Animalia","Annex 1"
"Anser fabalis","NHMSYS0021621884","Anser fabalis","Anatidae","Animalia","Annex 2.1"
"Aythya nyroca","NBNSYS0000000270","Aythya nyroca","Anatidae","Animalia","Annex 1"
"Hydrocoloeus minutus","NHMSYS0021053536","Hydrocoloeus minutus","Laridae","Animalia","Annex 1"
"Tringa nebularia","NBNSYS0000000150","Tringa nebularia","Scolopacidae","Animalia","Annex 2.2"
"Anser albifrons subsp. flavirostris","NHMSYS0000532795","Anser albifrons flavirostris","Anatidae","Animalia","Annex 1"
"Alectoris rufa","NHMSYS0000530143","Alectoris rufa","Phasianidae","Animalia","Annex 2.1"
"Rallus aquaticus","NHMSYS0000530803","Rallus aquaticus","Rallidae","Animalia","Annex 2.2"
"Columba oenas","NHMSYS0000530308","Columba oenas","Columbidae","Animalia","Annex 2.2"
"Cygnus cygnus","NBNSYS0000000199","Cygnus cygnus","Anatidae","Animalia","Annex 1"
"Loxia scotica","NHMSYS0000530457","Loxia scotica","Fringillidae","Animalia","Annex 1"
"Coturnix coturnix","NHMSYS0000530319","Coturnix coturnix","Phasianidae","Animalia","Annex 2.2"
"Emberiza caesia","NHMSYS0000530723","Emberiza caesia","Emberizidae","Animalia","Annex 1"
"Gavia stellata","NBNSYS0000000218","Gavia stellata","Gaviidae","Animalia","Annex 1"
"Bucephala clangula","NBNSYS0000000191","Bucephala clangula","Anatidae","Animalia","Annex 2.2"
"Nycticorax nycticorax","NHMSYS0000530505","Nycticorax nycticorax","Ardeidae","Animalia","Annex 1"
"Burhinus oedicnemus","NHMSYS0000530223","Burhinus oedicnemus","Burhinidae","Animalia","Annex 1"
"Pernis apivorus","NHMSYS0000530550","Pernis apivorus","Accipitridae","Animalia","Annex 1"
"Botaurus stellaris","NHMSYS0000530210","Botaurus stellaris","Ardeidae","Animalia","Annex 1"
"Ciconia ciconia","NHMSYS0000530286","Ciconia ciconia","Ciconiidae","Animalia","Annex 1"
"Aythya ferina","NBNSYS0000000137","Aythya ferina","Anatidae","Animalia","Annex 2.1"
"Calidris pugnax","NHMSYS0021003584","Calidris pugnax","Scolopacidae","Animalia","Annex 1, Annex 2.2"
"Circus pygargus","NHMSYS0000530296","Circus pygargus","Accipitridae","Animalia","Annex 1"
"Somateria mollissima","NBNSYS0000000197","Somateria mollissima","Anatidae","Animalia","Annex 2.2"
"Alcedo atthis","NHMSYS0000530141","Alcedo atthis","Alcedinidae","Animalia","Annex 1"
"Falco eleonorae","NHMSYS0000530352","Falco eleonorae","Falconidae","Animalia","Annex 1"
"Ardea purpurea","NHMSYS0000530173","Ardea purpurea","Ardeidae","Animalia","Annex 1"
"Anser brachyrhynchus","NHMSYS0000530150","Anser brachyrhynchus","Anatidae","Animalia","Annex 2.2"
