"Supplied Name","guid","scientificName","family","kingdom","Designation"
"Ficedula albicollis","NHMSYS0000530361","Ficedula albicollis","Muscicapidae","Animalia","Annex 1"
"Tetrao tetrix","NBNSYS0000172474","Lyrurus tetrix","Phasianidae","Animalia","Annex 2.2"
"Aquila chrysaetos","NHMSYS0000530170","Aquila chrysaetos","Accipitridae","Animalia","Annex 1"
"Corvus monedula","NHMSYS0021178877","Coloeus monedula","Corvidae","Animalia","Annex 2.2"
"Hydrobates pelagicus","NBNSYS0000000236","Hydrobates pelagicus","Hydrobatidae","Animalia","Annex 1"
"Pterodroma madeira","NHMSYS0000533727","Pterodroma madeira","Procellariidae","Animalia","Annex 1"
"Chlamydotis undulata","NHMSYS0000533011","Chlamydotis undulata","Otididae","Animalia","Annex 1"
"Emberiza hortulana","NHMSYS0000530728","Emberiza hortulana","Emberizidae","Animalia","Annex 1"
"Sturnus vulgaris","NHMSYS0000530628","Sturnus vulgaris","Sturnidae","Animalia","Annex 2.2"
"Clangula hyemalis","NBNSYS0000000194","Clangula hyemalis","Anatidae","Animalia","Annex 2.2"
"Anas platyrhynchos Linnaeus, 1758","NBNSYS0000000007","Anas platyrhynchos","Anatidae","Animalia","Annex 2.1"
"Anser albifrons","NHMSYS0000530149","Anser albifrons","Anatidae","Animalia","Annex 2.2"
"Ciconia nigra","NHMSYS0000530287","Ciconia nigra","Ciconiidae","Animalia","Annex 1"
"Crex crex","NHMSYS0000530322","Crex crex","Rallidae","Animalia","Annex 1"
"Milvus migrans","NHMSYS0000530481","Milvus migrans","Accipitridae","Animalia","Annex 1"
"Circus macrourus","NHMSYS0000530295","Circus macrourus","Accipitridae","Animalia","Annex 1"
"Larus argentatus","NBNSYS0000000038","Larus argentatus","Laridae","Animalia","Annex 2.2"
"Neophron percnopterus","NHMSYS0000530500","Neophron percnopterus","Accipitridae","Animalia","Annex 1"
"Cygnus olor","NBNSYS0000000010","Cygnus olor","Anatidae","Animalia","Annex 2.2"
"Egretta garzetta","NHMSYS0000530348","Egretta garzetta","Ardeidae","Animalia","Annex 1"
"Cygnus columbianus","NBNSYS0000000200","Cygnus columbianus","Anatidae","Animalia","Annex 1"
"Calonectris diomedea","NBNSYS0000000230","Calonectris diomedea","Procellariidae","Animalia","Annex 1"
"Charadrius morinellus","NBNSYS0000000176","Charadrius morinellus","Charadriidae","Animalia","Annex 1"
"Sternula albifrons","NHMSYS0001688285","Sternula albifrons","Laridae","Animalia","Annex 1"
"Larus melanocephalus","NHMSYS0021274101","Ichthyaetus melanocephalus","Laridae","Animalia","Annex 1"
"Melanocorypha calandra","NHMSYS0000530469","Melanocorypha calandra","Alaudidae","Animalia","Annex 1"
"Gallinago media","NBNSYS0000000185","Gallinago media","Scolopacidae","Animalia","Annex 1"
"Vanellus vanellus","NBNSYS0000000027","Vanellus vanellus","Charadriidae","Animalia","Annex 2.2"
"Porzana porzana","NHMSYS0000530787","Porzana porzana","Rallidae","Animalia","Annex 1"
"Falco rusticolus","NHMSYS0000530355","Falco rusticolus","Falconidae","Animalia","Annex 1"
"Gavia immer","NBNSYS0000000220","Gavia immer","Gaviidae","Animalia","Annex 1"
"Pandion haliaetus","NBNSYS0000000292","Pandion haliaetus","Accipitridae","Animalia","Annex 1"
"Netta rufina","NBNSYS0000000268","Netta rufina","Anatidae","Animalia","Annex 2.2"
"Branta ruficollis","NBNSYS0000000261","Branta ruficollis","Anatidae","Animalia","Annex 1"
"Pterodroma feae","NHMSYS0000533723","Pterodroma feae","Procellariidae","Animalia","Annex 1"
"Branta leucopsis","NBNSYS0000000214","Branta leucopsis","Anatidae","Animalia","Annex 1"
"Chroicocephalus ridibundus","NHMSYS0020962539","Chroicocephalus ridibundus","Laridae","Animalia","Annex 2.2"
"Pluvialis apricaria","NBNSYS0000000029","Pluvialis apricaria","Charadriidae","Animalia","Annex 1, Annex 2.2"
"Phasianus colchicus","NHMSYS0000530559","Phasianus colchicus","Phasianidae","Animalia","Annex 2.1"
"Tringa erythropus","NBNSYS0000000149","Tringa erythropus","Scolopacidae","Animalia","Annex 2.2"
"Anas penelope","NHMSYS0021276071","Mareca penelope","Anatidae","Animalia","Annex 2.1"
"Glareola pratincola","NBNSYS0000000321","Glareola pratincola","Glareolidae","Animalia","Annex 1"
"Perdix perdix","NHMSYS0000530548","Perdix perdix","Phasianidae","Animalia","Annex 2.1"
"Sterna sandvicensis","NHMSYS0021274181","Thalasseus sandvicensis","Laridae","Animalia","Annex 1"
"Limosa limosa","NBNSYS0000000145","Limosa limosa","Scolopacidae","Animalia","Annex 2.2"
"Luscinia svecica","NHMSYS0000530465","Luscinia svecica","Muscicapidae","Animalia","Annex 1"
"Milvus milvus","NHMSYS0000530482","Milvus milvus","Accipitridae","Animalia","Annex 1"
"Puffinus assimilis","NBNSYS0000000233","Puffinus assimilis","Procellariidae","Animalia","Annex 1"
"Aquila clanga","NHMSYS0021268746","Clanga clanga","Accipitridae","Animalia","Annex 1"
"Turdus viscivorus","NHMSYS0000530682","Turdus viscivorus","Turdidae","Animalia","Annex 2.2"
"Numenius arquata","NBNSYS0000000032","Numenius arquata","Scolopacidae","Animalia","Annex 2.2"
"Falco columbarius","NHMSYS0000530743","Falco columbarius","Falconidae","Animalia","Annex 1"
"Himantopus himantopus","NBNSYS0000000180","Himantopus himantopus","Recurvirostridae","Animalia","Annex 1"
"Branta canadensis","NBNSYS0000000009","Branta canadensis","Anatidae","Animalia","Annex 2.1"
"Corvus frugilegus","NHMSYS0000530316","Corvus frugilegus","Corvidae","Animalia","Annex 2.2"
"Lullula arborea","NHMSYS0000530459","Lullula arborea","Alaudidae","Animalia","Annex 1"
"Gallinago gallinago","NBNSYS0000000030","Gallinago gallinago","Scolopacidae","Animalia","Annex 2.1"
"Lanius collurio","NHMSYS0000530423","Lanius collurio","Laniidae","Animalia","Annex 1"
"Pluvialis squatarola","NBNSYS0000000141","Pluvialis squatarola","Charadriidae","Animalia","Annex 2.2"
"Falco naumanni","NHMSYS0000530353","Falco naumanni","Falconidae","Animalia","Annex 1"
"Melanitta fusca","NBNSYS0000000195","Melanitta fusca","Anatidae","Animalia","Annex 2.2"
"Falco peregrinus","NHMSYS0000530354","Falco peregrinus","Falconidae","Animalia","Annex 1"
"Lanius minor","NHMSYS0000530428","Lanius minor","Laniidae","Animalia","Annex 1"
"Larus fuscus","NBNSYS0000000037","Larus fuscus","Laridae","Animalia","Annex 2.2"
"Pica pica","NHMSYS0000530761","Pica pica","Corvidae","Animalia","Annex 2.2"
"Alauda arvensis","NHMSYS0000530139","Alauda arvensis","Alaudidae","Animalia","Annex 2.2"
"Tadorna ferruginea","NHMSYS0000530654","Tadorna ferruginea","Anatidae","Animalia","Annex 1"
"Anas crecca","NBNSYS0000000131","Anas crecca","Anatidae","Animalia","Annex 2.1"
"Aythya fuligula","NBNSYS0000000139","Aythya fuligula","Anatidae","Animalia","Annex 2.1"
"Melanitta nigra","NBNSYS0000000196","Melanitta nigra","Anatidae","Animalia","Annex 2.2"
"Phalaropus lobatus","NBNSYS0000000172","Phalaropus lobatus","Scolopacidae","Animalia","Annex 1"
"Otis tarda","NHMSYS0000530520","Otis tarda","Otididae","Animalia","Annex 1"
"Corvus corone","NHMSYS0000530315","Corvus corone","Corvidae","Animalia","Annex 2.2"
"Oceanodroma castro","NHMSYS0021537803","Hydrobates castro","Hydrobatidae","Animalia","Annex 1"
"Scolopax rusticola","NBNSYS0000000031","Scolopax rusticola","Scolopacidae","Animalia","Annex 2.1"
"Circus cyaneus","NHMSYS0000530294","Circus cyaneus","Accipitridae","Animalia","Annex 1"
"Tringa glareola","NBNSYS0000000148","Tringa glareola","Scolopacidae","Animalia","Annex 1"
"Caprimulgus europaeus","NHMSYS0000530242","Caprimulgus europaeus","Caprimulgidae","Animalia","Annex 1"
"Anser anser","NBNSYS0000000201","Anser anser","Anatidae","Animalia","Annex 2.1"
"Plegadis falcinellus","NBNSYS0000000254","Plegadis falcinellus","Threskiornithidae","Animalia","Annex 1"
"Anas acuta","NBNSYS0000000189","Anas acuta","Anatidae","Animalia","Annex 2.1"
"Chlidonias niger","NBNSYS0000000372","Chlidonias niger","Laridae","Animalia","Annex 1"
"Ixobrychus minutus","NHMSYS0000530414","Ixobrychus minutus","Ardeidae","Animalia","Annex 1"
"Calidris canutus","NBNSYS0000000151","Calidris canutus","Scolopacidae","Animalia","Annex 2.2"
"Haliaeetus albicilla","NBNSYS0000000281","Haliaeetus albicilla","Accipitridae","Animalia","Annex 1"
"Bubo scandiacus","NHMSYS0021003743","Bubo scandiacus","Strigidae","Animalia","Annex 1"
"Coracias garrulus","NHMSYS0000530311","Coracias garrulus","Coraciidae","Animalia","Annex 1"
"Gallinula chloropus","NBNSYS0000000024","Gallinula chloropus","Rallidae","Animalia","Annex 2.2"
"Xenus cinereus","NHMSYS0000530707","Xenus cinereus","Scolopacidae","Animalia","Annex 1"
"Larus marinus","NBNSYS0000000036","Larus marinus","Laridae","Animalia","Annex 2.2"
"Branta bernicla","NBNSYS0000000260","Branta bernicla","Anatidae","Animalia","Annex 2.2"
"Circus aeruginosus","NHMSYS0000530293","Circus aeruginosus","Accipitridae","Animalia","Annex 1"
"Pyrrhocorax pyrrhocorax","NHMSYS0000530800","Pyrrhocorax pyrrhocorax","Corvidae","Animalia","Annex 1"
"Hydroprogne caspia","NHMSYS0001688287","Hydroprogne caspia","Laridae","Animalia","Annex 1"
"Turdus pilaris","NHMSYS0000530679","Turdus pilaris","Turdidae","Animalia","Annex 2.2"
"Acrocephalus paludicola","NHMSYS0000530127","Acrocephalus paludicola","Acrocephalidae","Animalia","Annex 1"
"Surnia ulula","NHMSYS0000530630","Surnia ulula","Strigidae","Animalia","Annex 1"
"Chroicocephalus genei","NHMSYS0020962544","Chroicocephalus genei","Laridae","Animalia","Annex 1"
"Sylvia sarda","NHMSYS0021311422","Curruca sarda","Sylviidae","Animalia","Annex 1"
"Tetrax tetrax","NHMSYS0000530661","Tetrax tetrax","Otididae","Animalia","Annex 1"
"Acrocephalus melanopogon","NHMSYS0000530126","Acrocephalus melanopogon","Acrocephalidae","Animalia","Annex 1"
"Mergellus albellus","NHMSYS0000530474","Mergellus albellus","Anatidae","Animalia","Annex 1"
"Lymnocryptes minimus","NBNSYS0000000143","Lymnocryptes minimus","Scolopacidae","Animalia","Annex 2.1"
"Porzana parva","NHMSYS0021311282","Zapornia parva","Rallidae","Animalia","Annex 1"
"Sterna dougallii","NBNSYS0000000364","Sterna dougallii","Laridae","Animalia","Annex 1"
"Sylvia rueppelli","NHMSYS0021311417","Curruca ruppeli","Sylviidae","Animalia","Annex 1"
"Sterna hirundo","NBNSYS0000000138","Sterna hirundo","Laridae","Animalia","Annex 1"
"Streptopelia decaocto","NHMSYS0000530621","Streptopelia decaocto","Columbidae","Animalia","Annex 2.2"
"Mergus serrator","NBNSYS0000000198","Mergus serrator","Anatidae","Animalia","Annex 2.2"
"Tringa totanus","NBNSYS0000000034","Tringa totanus","Scolopacidae","Animalia","Annex 2.2"
"Troglodytes troglodytes subsp. fridariensis","NHMSYS0001596569","Troglodytes troglodytes fridariensis","Troglodytidae","Animalia","Annex 1"
"Lagopus muta","NHMSYS0000530421","Lagopus muta","Phasianidae","Animalia","Annex 2.1"
"Podiceps auritus","NBNSYS0000000224","Podiceps auritus","Podicipedidae","Animalia","Annex 1"
"Fulica atra","NBNSYS0000000025","Fulica atra","Rallidae","Animalia","Annex 2.1"
"Gyps fulvus","NHMSYS0000530389","Gyps fulvus","Accipitridae","Animalia","Annex 1"
"Grus grus","NHMSYS0000530386","Grus grus","Gruidae","Animalia","Annex 1"
"Larus canus","NBNSYS0000000354","Larus canus","Laridae","Animalia","Annex 2.2"
