Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Amfibieën;Alytes obstetricans;Vroedmeesterpad;Amfibieën;Alytes obstetricans;Laurenti, 1768;Vroedmeesterpad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Amfibieën;Epidalea calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Amfibieën;Pelophylax lessonae;Poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Amfibieën;Salamandra salamandra;Vuursalamander;Amfibieën;Salamandra salamandra;NULL;Vuursalamander;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Amfibieën;Triturus cristatus;Kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Alauda arvensis;Veldleeuwerik;Vogels;Alauda arvensis;NULL;Veldleeuwerik;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Alcedo atthis;Ijsvogel;Vogels;Alcedo atthis;NULL;Ijsvogel;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Anthus pratensis;Graspieper;Vogels;Anthus pratensis;NULL;Graspieper;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Anthus trivialis;Boompieper;Vogels;Anthus trivialis;NULL;Boompieper;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Botaurus stellaris;Roerdomp;Vogels;Botaurus stellaris;NULL;Roerdomp;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Bubo bubo;Oehoe;Vogels;Bubo bubo;NULL;Oehoe;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Ciconia ciconia;Ooievaar;Vogels;Ciconia ciconia;NULL;Ooievaar;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Corvus corax;Raaf;Vogels;Corvus corax;NULL;Raaf;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Crex crex;Kwartelkoning;Vogels;Crex crex;NULL;Kwartelkoning;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Cyanecula svecica;Blauwborst;Vogels;Luscinia svecica;NULL;Blauwborst;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Dendrocopos major;Grote bonte specht;Vogels;Dendrocopos major;NULL;Grote bonte specht;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Dryocopus martius;Zwarte specht;Vogels;Dryocopus martius;NULL;Zwarte specht;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Emberiza calandra;Grauwe gors;Vogels;Emberiza calandra;NULL;Grauwe gors;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Falco peregrinus;Slechtvalk;Vogels;Falco peregrinus;NULL;Slechtvalk;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Gallinago gallinago;Watersnip;Vogels;Gallinago gallinago;NULL;Watersnip;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Hirundo rustica;Boerenzwaluw;Vogels;Hirundo rustica;NULL;Boerenzwaluw;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Ixobrychus minutus;Woudaap;Vogels;Ixobrychus minutus;NULL;Woudaap;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Lanius collurio;Grauwe klauwier;Vogels;Lanius collurio;NULL;Grauwe klauwier;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Leiopicus medius;Middelste bonte specht;Vogels;Dendrocoptes medius;NULL;Middelste bonte specht;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Luscinia megarhynchos;Nachtegaal;Vogels;Luscinia megarhynchos;NULL;Nachtegaal;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Oenanthe oenanthe;Tapuit;Vogels;Oenanthe oenanthe;NULL;Tapuit;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Oriolus oriolus;Wielewaal;Vogels;Oriolus oriolus;NULL;Wielewaal;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Parus montanus;Matkop;Vogels;Poecile montanus;NULL;Matkop;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
Provinciaal belangrijke soorten - Vlaams-Brabant;2021;1;Broedvogels;Parus palustris;Glanskop;Vogels;Parus palustris;NULL;Glanskop;PBS;Provinciaal belangrijke soorten;HS;Habitattypische soort
