Lijst;PublicatieJaar;LaatsteVersie;taxonlijstgroep;NaamWet;NaamNed;taxongroep;NaamWet_interpretatie;Auteur;NaamNed_interpretatie;KenmerkCode;Kenmerk;KenmerkwaardeCode;Kenmerkwaarde
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Epidalea calamita;Rugstreeppad;Amfibieën;Epidalea calamita;NULL;Rugstreeppad;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Hyla arborea;Boomkikker;Amfibieën;Hyla arborea;NULL;Boomkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Lissotriton helveticus;Vinpootsalamander;Vaatplanten;Lissotriton helveticus;NULL;Vinpootsalamander;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Lissotriton vulgaris;Kleine watersalamander;Vaatplanten;Lissotriton vulgaris;NULL;Kleine watersalamander;PBS;Provinciaal belangrijke soorten;SS;Symboolsoort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Pelophylax lessonae;Poelkikker;Amfibieën;Pelophylax lessonae;(Camerano, 1882);Poelkikker;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Amfibieën;Triturus cristatus;Kamsalamander;Amfibieën;Triturus cristatus;(Laurenti, 1768);Kamsalamander;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Acrocephalus schoenobaenus;Rietzanger;Vogels;Acrocephalus schoenobaenus;NULL;Rietzanger;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Anas querquedula;Zomertaling;Vogels;Anas querquedula;NULL;Zomertaling;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Charadrius alexandrinus;Strandplevier;Vogels;Charadrius alexandrinus;NULL;Strandplevier;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Ciconia ciconia;Ooievaar;Vogels;Ciconia ciconia;NULL;Ooievaar;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Circus aeruginosus;Bruine kiekendief;Vogels;Circus aeruginosus;NULL;Bruine kiekendief;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Crex crex;Kwartelkoning;Vogels;Crex crex;NULL;Kwartelkoning;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
Provinciaal belangrijke soorten - West-Vlaanderen;2007;0;Broedvogels;Egretta garzetta;Kleine zilverreiger;Vogels;Egretta garzetta;NULL;Kleine zilverreiger;PBS;Provinciaal belangrijke soorten;PS;Prioritaire soort
