rightsHolder,accessRights,datasetName,ownerInstitutionCode,taxonRank,status,continent,country,stateProvince,vernacularName,kingdom,scientificName,scientificNameAuthorship
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Rugstreeppad,Animalia,Epidalea calamita,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Boomkikker,Animalia,Hyla arborea,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Knoflookpad,Animalia,Pelobates fuscus,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Poelkikker,Animalia,Pelophylax lessonae,"(Camerano, 1882)"
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Heikikker,Animalia,Rana arvalis,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Vuursalamander,Animalia,Salamandra salamandra,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Kamsalamander,Animalia,Triturus cristatus,"(Laurenti, 1768)"
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Boompieper,Animalia,Anthus trivialis,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Steenuil,Animalia,Athene noctua,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Grauwe gors,Animalia,Emberiza calandra,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Grutto,Animalia,Limosa limosa,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Wielewaal,Animalia,Oriolus oriolus,NULL
INBO,http://www.inbo.be/en/norms-for-data-use,Prioritaire soorten Vlaanderen,INBO,species,Prioritaire soort Vlaanderen,Europe,Belgium,Flanders,Geoorde fuut,Animalia,Podiceps nigricollis,NULL
