"Supplied Name","guid","scientificName","family","kingdom"
"Sanguisorba officinalis","NBNSYS0000003387","Sanguisorba officinalis","Rosaceae","Plantae"
"Prunus padus","NBNSYS0000003419","Prunus padus","Rosaceae","Plantae"
"Dianthus deltoides","NBNSYS0000003013","Dianthus deltoides","Caryophyllaceae","Plantae"
"Petrosedum forsterianum","NHMSYS0000463386","Sedum forsterianum","Crassulaceae","Plantae"
"Riccia fluitans","NHMSYS0000310449","Riccia fluitans","Ricciaceae","Plantae"
"Helleborus foetidus","NBNSYS0000002693","Helleborus foetidus","Ranunculaceae","Plantae"
"Melica uniflora","NBNSYS0000002568","Melica uniflora","Poaceae","Plantae"
"Narcissus pseudonarcissus ssp. pseudonarcissus","NBNSYS0000002256","Narcissus pseudonarcissus subsp. pseudonarcissus","Amaryllidaceae","Plantae"
"Carex pulicaris","NBNSYS0000002492","Carex pulicaris","Cyperaceae","Plantae"
"Grimmia montana","NHMSYS0000309973","Grimmia montana","Grimmiaceae","Plantae"
"Climacium dendroides","NHMSYS0000309639","Climacium dendroides","Climaciaceae","Plantae"
"Filago germanica","NHMSYS0000458841","Filago lutescens","Asteraceae","Plantae"
"Sphagnum inundatum","NHMSYS0000310674","Sphagnum inundatum","Sphagnaceae","Plantae"
"Menyanthes trifoliata","NBNSYS0000003976","Menyanthes trifoliata","Menyanthaceae","Plantae"
"Rubus saxatilis","NBNSYS0000003318","Rubus saxatilis","Rosaceae","Plantae"
"Cladium mariscus","NBNSYS0000002409","Cladium mariscus","Cyperaceae","Plantae"
"Coeloglossum viride","NHMSYS0000457408","Coeloglossum viride","Orchidaceae","Plantae"
"Stellaria palustris","NHMSYS0000464012","Stellaria palustris","Caryophyllaceae","Plantae"
"Lathyrus sylvestris","NBNSYS0000003303","Lathyrus sylvestris","Fabaceae","Plantae"
"Rosa micrantha","NHMSYS0000462468","Rosa micrantha","Rosaceae","Plantae"
"Scrophularia umbrosa","NBNSYS0000004080","Scrophularia umbrosa","Scrophulariaceae","Plantae"
"Rumex maritimus","NBNSYS0000003800","Rumex maritimus","Polygonaceae","Plantae"
"Rhytidiadelphus triquetrus","NHMSYS0021597852","Hylocomiadelphus triquetrus","Hylocomiaceae","Plantae"
"Dicranum majus","NBNSYS0000036228","Dicranum majus","Dicranaceae","Plantae"
"Galeopsis speciosa","NHMSYS0000458954","Galeopsis speciosa","Lamiaceae","Plantae"
"Trifolium campestre","NHMSYS0000464564","Trifolium campestre","Fabaceae","Plantae"
"Lamiastrum galeobdolon","NBNSYS0000004239","Lamiastrum galeobdolon","Lamiaceae","Plantae"
"Inula conyzae","NBNSYS0000004397","Inula conyzae","Asteraceae","Plantae"
"Potamogeton perfoliatus","NBNSYS0000002134","Potamogeton perfoliatus","Potamogetonaceae","Plantae"
"Sphagnum fimbriatum","NHMSYS0000310667","Sphagnum fimbriatum","Sphagnaceae","Plantae"
"Scirpus sylvaticus","NBNSYS0000002382","Scirpus sylvaticus","Cyperaceae","Plantae"
"Clinopodium vulgare","NBNSYS0000004217","Clinopodium vulgare","Lamiaceae","Plantae"
"Carex spicata","NHMSYS0000456896","Carex spicata","Cyperaceae","Plantae"
"Alchemilla xanthochlora","NBNSYS0000003379","Alchemilla xanthochlora","Rosaceae","Plantae"
"Galeopsis angustifolia","NBNSYS0000004249","Galeopsis angustifolia","Lamiaceae","Plantae"
"Luronium natans","NBNSYS0000002100","Luronium natans","Alismataceae","Plantae"
"Andreaea rothii","NHMSYS0000309335","Andreaea rothii","Andreaeaceae","Plantae"
"Dactylorhiza praetermissa","NHMSYS0000457949","Dactylorhiza praetermissa","Orchidaceae","Plantae"
"Thalictrum flavum","NBNSYS0000002744","Thalictrum flavum","Ranunculaceae","Plantae"
"Erigeron acris","NHMSYS0021126192","Erigeron acris","Asteraceae","Plantae"
"Legousia hybrida","NBNSYS0000004293","Legousia hybrida","Campanulaceae","Plantae"
"Myriophyllum alterniflorum","NBNSYS0000003610","Myriophyllum alterniflorum","Haloragaceae","Plantae"
"Wahlenbergia hederacea","NHMSYS0000464951","Wahlenbergia hederacea","Campanulaceae","Plantae"
"Luzula multiflora","NBNSYS0000002247","Luzula multiflora","Juncaceae","Plantae"
