"Supplied Name","guid","scientificName","family","kingdom"
"Juncus bulbosus","NBNSYS0000002234","Juncus bulbosus","Juncaceae","Plantae"
"Apium inundatum","NHMSYS0000455995","Apium inundatum","Apiaceae","Plantae"
"Centunculus minimus","NBNSYS0000143890","Centunculus minimus","Primulaceae","Plantae"
"Poa compressa","NBNSYS0000002553","Poa compressa","Poaceae","Plantae"
"Potamogeton friesii","NBNSYS0000002136","Potamogeton friesii","Potamogetonaceae","Plantae"
"Pedicularis palustris","NBNSYS0000004130","Pedicularis palustris","Orobanchaceae","Plantae"
"Catabrosa aquatica","NHMSYS0000456975","Catabrosa aquatica","Poaceae","Plantae"
"Moenchia erecta","NHMSYS0000460745","Moenchia erecta","Caryophyllaceae","Plantae"
"Pinguicula vulgaris","NBNSYS0000004184","Pinguicula vulgaris","Lentibulariaceae","Plantae"
"Pimpinella saxifraga","NBNSYS0000003682","Pimpinella saxifraga","Apiaceae","Plantae"
"Kickxia elatine","NBNSYS0000004075","Kickxia elatine","Plantaginaceae","Plantae"
"Helianthemum nummularium","NHMSYS0000459266","Helianthemum nummularium","Cistaceae","Plantae"
"Potamogeton polygonifolius","NHMSYS0000461999","Potamogeton polygonifolius","Potamogetonaceae","Plantae"
"Potentilla argentea","NBNSYS0000003342","Potentilla argentea","Rosaceae","Plantae"
"Gentianella amarella","NHMSYS0000459016","Gentianella amarella","Gentianaceae","Plantae"
"Myosotis secunda","NHMSYS0000460819","Myosotis secunda","Boraginaceae","Plantae"
"Cicuta virosa","NBNSYS0000003674","Cicuta virosa","Apiaceae","Plantae"
"Salix purpurea","NBNSYS0000003863","Salix purpurea","Salicaceae","Plantae"
"Scandix pecten-veneris","NBNSYS0000003643","Scandix pecten-veneris","Apiaceae","Plantae"
"Ranunculus auricomus","NBNSYS0000002716","Ranunculus auricomus","Ranunculaceae","Plantae"
"Astrantia major","NBNSYS0000003635","Astrantia major","Apiaceae","Plantae"
"Carex muricata ssp. pairae","NHMSYS0020110544","Carex muricata subsp. pairae","Cyperaceae","Plantae"
"Botrychium lunaria","NBNSYS0000002091","Botrychium lunaria","Ophioglossaceae","Plantae"
"Cardamine impatiens","NBNSYS0000002874","Cardamine impatiens","Brassicaceae","Plantae"
"Geranium columbinum","NBNSYS0000003156","Geranium columbinum","Geraniaceae","Plantae"
"Ranunculus fluitans","NBNSYS0000002725","Ranunculus fluitans","Ranunculaceae","Plantae"
"Gymnadenia densiflora","NHMSYS0000459171","Gymnadenia densiflora","Orchidaceae","Plantae"
"Silaum silaus","NBNSYS0000003699","Silaum silaus","Apiaceae","Plantae"
"Viola canina","NBNSYS0000002934","Viola canina","Violaceae","Plantae"
"Dryopteris borreri","NHMSYS0000458179","Dryopteris borreri","Dryopteridaceae","Plantae"
"Saxifraga tridactylites","NBNSYS0000003498","Saxifraga tridactylites","Saxifragaceae","Plantae"
"Sorbus anglica","NHMSYS0000463794","Sorbus anglica","Rosaceae","Plantae"
"Eleocharis quinqueflora","NHMSYS0000458307","Eleocharis quinqueflora","Cyperaceae","Plantae"
"Frangula alnus","NHMSYS0000458887","Frangula alnus","Rhamnaceae","Plantae"
"Aira praecox","NBNSYS0000002625","Aira praecox","Poaceae","Plantae"
"Anthriscus caucalis","NHMSYS0000455967","Anthriscus caucalis","Apiaceae","Plantae"
"Narthecium ossifragum","NHMSYS0000460927","Narthecium ossifragum","Nartheciaceae","Plantae"
"Schoenoplectus tabernaemontani","NHMSYS0000463294","Schoenoplectus tabernaemontani","Cyperaceae","Plantae"
"Umbilicus rupestris","NBNSYS0000003488","Umbilicus rupestris","Crassulaceae","Plantae"
"Clinopodium acinos","NBNSYS0000004216","Clinopodium acinos","Lamiaceae","Plantae"
"Phegopteris connectilis","NHMSYS0000461665","Phegopteris connectilis","Thelypteridaceae","Plantae"
"Viola reichenbachiana","NHMSYS0000464896","Viola reichenbachiana","Violaceae","Plantae"
"Cirsium acaule","NBNSYS0000004494","Cirsium acaule","Asteraceae","Plantae"
"Hydrocharis morsus-ranae","NBNSYS0000002109","Hydrocharis morsus-ranae","Hydrocharitaceae","Plantae"
"Ranunculus lingua","NBNSYS0000002717","Ranunculus lingua","Ranunculaceae","Plantae"
"Drosera anglica","NBNSYS0000146364","Drosera anglica","Droseraceae","Plantae"
"Aira caryophyllea","NBNSYS0000002626","Aira caryophyllea","Poaceae","Plantae"
"Plantago coronopus","NBNSYS0000004277","Plantago coronopus","Plantaginaceae","Plantae"
"Blechnum spicant","NBNSYS0000002036","Blechnum spicant","Blechnaceae","Plantae"
"Impatiens noli-tangere","NBNSYS0000003186","Impatiens noli-tangere","Balsaminaceae","Plantae"
"Adiantum capillus-veneris","NBNSYS0000002034","Adiantum capillus-veneris","Pteridaceae","Plantae"
"Ophrys apifera","NHMSYS0000461294","Ophrys apifera","Orchidaceae","Plantae"
"Trifolium striatum","NBNSYS0000003239","Trifolium striatum","Fabaceae","Plantae"
"Baldellia ranunculoides","NBNSYS0000002099","Baldellia ranunculoides","Alismataceae","Plantae"
"Ononis repens","NBNSYS0000003215","Ononis repens","Fabaceae","Plantae"
"Isolepis setacea","NHMSYS0000459924","Isolepis setacea","Cyperaceae","Plantae"
"Lathraea squamaria","NBNSYS0000004169","Lathraea squamaria","Orobanchaceae","Plantae"
"Alchemilla glabra","NHMSYS0000455726","Alchemilla glabra","Rosaceae","Plantae"
"Aulacomnium palustre","NBNSYS0000036662","Aulacomnium palustre","Aulacomniaceae","Plantae"
"Serratula tinctoria","NBNSYS0000004513","Serratula tinctoria","Asteraceae","Plantae"
"Carlina vulgaris","NBNSYS0000004478","Carlina vulgaris","Asteraceae","Plantae"
"Potamogeton gramineus","NBNSYS0000002131","Potamogeton gramineus","Potamogetonaceae","Plantae"
"Schoenoplectus lacustris","NBNSYS0000002386","Schoenoplectus lacustris","Cyperaceae","Plantae"
"Carex elongata","NBNSYS0000002481","Carex elongata","Cyperaceae","Plantae"
"Arabis hirsuta","NBNSYS0000002889","Arabis hirsuta","Brassicaceae","Plantae"
"Epipactis phyllanthes","NHMSYS0000458454","Epipactis phyllanthes","Orchidaceae","Plantae"
"Lycopsis arvensis","NHMSYS0000455907","Anchusa arvensis","Boraginaceae","Plantae"
"Sorbus cuneifolia","NHMSYS0021123446","Sorbus cuneifolia","Rosaceae","Plantae"
"Chrysosplenium alternifolium","NBNSYS0000003511","Chrysosplenium alternifolium","Saxifragaceae","Plantae"
"Geum rivale","NBNSYS0000003363","Geum rivale","Rosaceae","Plantae"
"Alchemilla filicaulis","NBNSYS0000034246","Alchemilla filicaulis","Rosaceae","Plantae"
"Sherardia arvensis","NBNSYS0000004300","Sherardia arvensis","Rubiaceae","Plantae"
"Teesdalia nudicaulis","NHMSYS0000464359","Teesdalia nudicaulis","Brassicaceae","Plantae"
"Carex nigra","NBNSYS0000002460","Carex nigra","Cyperaceae","Plantae"
"Sphagnum denticulatum","NHMSYS0000310916","Sphagnum denticulatum","Sphagnaceae","Plantae"
"Empetrum nigrum","NBNSYS0000004598","Empetrum nigrum","Ericaceae","Plantae"
"Trichocolea tomentella","NHMSYS0000310803","Trichocolea tomentella","Trichocoleaceae","Plantae"
"Filipendula vulgaris","NBNSYS0000003315","Filipendula vulgaris","Rosaceae","Plantae"
"Sanicula europaea","NBNSYS0000003634","Sanicula europaea","Apiaceae","Plantae"
"Hieracium nemophilum","NHMSYS0020755122","Hieracium nemophilum","Asteraceae","Plantae"
"Linum catharticum","NBNSYS0000003145","Linum catharticum","Linaceae","Plantae"
"Polytrichum strictum","NHMSYS0000310397","Polytrichum strictum","Polytrichaceae","Plantae"
"Potamogeton alpinus","NHMSYS0000461993","Potamogeton alpinus","Potamogetonaceae","Plantae"
"Centunculus minimus","NBNSYS0000143890","Centunculus minimus","Primulaceae","Plantae"
"Jacobaea erucifolia","NHMSYS0021241547","Jacobaea erucifolia","Asteraceae","Plantae"
"Leucobryum glaucum","NHMSYS0021597982","Leucobryum glaucum","Leucobryaceae","Plantae"
"Trichophorum germanicum","NHMSYS0021007988","Trichophorum germanicum","Cyperaceae","Plantae"
"Saxifraga granulata","NBNSYS0000003499","Saxifraga granulata","Saxifragaceae","Plantae"
"Ranunculus peltatus","NBNSYS0000002732","Ranunculus peltatus","Ranunculaceae","Plantae"
"Hottonia palustris","NBNSYS0000003932","Hottonia palustris","Primulaceae","Plantae"
"Sphagnum compactum","NHMSYS0000310662","Sphagnum compactum","Sphagnaceae","Plantae"
"Sphagnum fallax","NHMSYS0000310665","Sphagnum fallax","Sphagnaceae","Plantae"
"Aconitum napellus","NHMSYS0000455574","Aconitum napellus","Ranunculaceae","Plantae"
"Oxalis acetosella","NBNSYS0000003175","Oxalis acetosella","Oxalidaceae","Plantae"
"Juncus compressus","NBNSYS0000002213","Juncus compressus","Juncaceae","Plantae"
"Lithospermum officinale","NBNSYS0000004016","Lithospermum officinale","Boraginaceae","Plantae"
"Vaccinium myrtillus","NBNSYS0000003915","Vaccinium myrtillus","Ericaceae","Plantae"
"Euphrasia anglica","NHMSYS0100001533","Euphrasia officinalis subsp. anglica","Orobanchaceae","Plantae"
"Carex lasiocarpa","NBNSYS0000002443","Carex lasiocarpa","Cyperaceae","Plantae"
"Cryptogramma crispa","NHMSYS0000457743","Cryptogramma crispa","Pteridaceae","Plantae"
"Cystopteris fragilis","NBNSYS0000002058","Cystopteris fragilis","Cystopteridaceae","Plantae"
"Carex elata","NBNSYS0000002456","Carex elata","Cyperaceae","Plantae"
"Anthemis cotula","NBNSYS0000004448","Anthemis cotula","Asteraceae","Plantae"
"Catapodium rigidum","NHMSYS0000456981","Catapodium rigidum","Poaceae","Plantae"
"Andromeda polifolia","NBNSYS0000003895","Andromeda polifolia","Ericaceae","Plantae"
"Carex rostrata","NBNSYS0000002426","Carex rostrata","Cyperaceae","Plantae"
"Plantago media","NBNSYS0000004274","Plantago media","Plantaginaceae","Plantae"
"Carex strigosa","NHMSYS0000456898","Carex strigosa","Cyperaceae","Plantae"
"Allium oleraceum","NBNSYS0000002197","Allium oleraceum","Amaryllidaceae","Plantae"
"Berula erecta","NHMSYS0000456451","Berula erecta","Apiaceae","Plantae"
"Euphrasia arctica","NBNSYS0000014123","Euphrasia arctica","Orobanchaceae","Plantae"
"Gymnocarpium dryopteris","NBNSYS0000002083","Gymnocarpium dryopteris","Cystopteridaceae","Plantae"
"Centaurea scabiosa","NBNSYS0000004501","Centaurea scabiosa","Asteraceae","Plantae"
"Epipactis purpurata","NHMSYS0000458456","Epipactis purpurata","Orchidaceae","Plantae"
"Scutellaria minor","NHMSYS0000463361","Scutellaria minor","Lamiaceae","Plantae"
"Hypericum humifusum","NBNSYS0000002964","Hypericum humifusum","Hypericaceae","Plantae"
"Pyrola minor","NBNSYS0000004590","Pyrola minor","Ericaceae","Plantae"
"Potamogeton compressus","NBNSYS0000002142","Potamogeton compressus","Potamogetonaceae","Plantae"
"Oenanthe fistulosa","NBNSYS0000003689","Oenanthe fistulosa","Apiaceae","Plantae"
"Epipactis palustris","NHMSYS0000458452","Epipactis palustris","Orchidaceae","Plantae"
"Geranium sanguineum","NBNSYS0000003153","Geranium sanguineum","Geraniaceae","Plantae"
"Phragmites australis","NHMSYS0000461214","Phragmites australis","Poaceae","Plantae"
"Sphagnum flexuosum","NHMSYS0000310668","Sphagnum flexuosum","Sphagnaceae","Plantae"
"Milium effusum","NBNSYS0000002663","Milium effusum","Poaceae","Plantae"
"Chara aspera","NHMSYS0021059035","Chara aspera","Characeae","Plantae"
"Cardamine amara","NBNSYS0000002873","Cardamine amara","Brassicaceae","Plantae"
"Butomus umbellatus","NBNSYS0000002108","Butomus umbellatus","Butomaceae","Plantae"
"Deschampsia flexuosa","NBNSYS0000002623","Deschampsia flexuosa","Poaceae","Plantae"
"Dryopteris oreades","NBNSYS0000002065","Dryopteris oreades","Dryopteridaceae","Plantae"
"Spergula arvensis","NBNSYS0000003066","Spergula arvensis","Caryophyllaceae","Plantae"
"Viola tricolor","NBNSYS0000002944","Viola tricolor","Violaceae","Plantae"
"Lycopodium clavatum","NBNSYS0000002003","Lycopodium clavatum","Lycopodiaceae","Plantae"
"Epilobium palustre","NBNSYS0000003584","Epilobium palustre","Onagraceae","Plantae"
"Rhinanthus minor","NBNSYS0000004135","Rhinanthus minor","Orobanchaceae","Plantae"
"Eriophorum latifolium","NBNSYS0000002374","Eriophorum latifolium","Cyperaceae","Plantae"
"Dryopteris affinis","NHMSYS0000458170","Dryopteris affinis","Dryopteridaceae","Plantae"
"Sphagnum angustifolium","NHMSYS0000310654","Sphagnum angustifolium","Sphagnaceae","Plantae"
"Paris quadrifolia","NBNSYS0000002190","Paris quadrifolia","Melanthiaceae","Plantae"
"Myosotis ramosissima","NBNSYS0000004014","Myosotis ramosissima","Boraginaceae","Plantae"
"Juncus squarrosus","NBNSYS0000002210","Juncus squarrosus","Juncaceae","Plantae"
"Viola palustris","NBNSYS0000002939","Viola palustris","Violaceae","Plantae"
"Dactylorhiza incarnata","NHMSYS0000457908","Dactylorhiza incarnata","Orchidaceae","Plantae"
"Hymenophyllum wilsonii","NBNSYS0000002030","Hymenophyllum wilsonii","Hymenophyllaceae","Plantae"
"Veronica scutellata","NBNSYS0000004101","Veronica scutellata","Plantaginaceae","Plantae"
"Glebionis segetum","NHMSYS0020110561","Glebionis segetum","Asteraceae","Plantae"
"Odontoschisma sphagni","NHMSYS0000310239","Odontoschisma sphagni","Cephaloziaceae","Plantae"
"Sphagnum palustre","NBNSYS0000036070","Sphagnum palustre","Sphagnaceae","Plantae"
"Hypopitys monotropa","NHMSYS0021240704","Hypopitys monotropa","Ericaceae","Plantae"
"Bromopsis erecta","NHMSYS0000456650","Bromopsis erecta","Poaceae","Plantae"
"Lythrum portula","NHMSYS0000460546","Lythrum portula","Lythraceae","Plantae"
"Alopecurus aequalis","NBNSYS0000002659","Alopecurus aequalis","Poaceae","Plantae"
"Aphanes australis","NBNSYS0100001604","Aphanes australis","Rosaceae","Plantae"
"Sorbus torminalis","NBNSYS0000003460","Sorbus torminalis","Rosaceae","Plantae"
"Persicaria minor","NHMSYS0000461606","Persicaria minor","Polygonaceae","Plantae"
"Comarum palustre","NBNSYS0000003338","Potentilla palustris","Rosaceae","Plantae"
"Solidago virgaurea","NBNSYS0000004417","Solidago virgaurea","Asteraceae","Plantae"
"Dipsacus pilosus","NBNSYS0000004348","Dipsacus pilosus","Caprifoliaceae","Plantae"
"Avenula pubescens","NHMSYS0000459280","Helictotrichon pubescens","Poaceae","Plantae"
"Bromus racemosus","NBNSYS0000002585","Bromus racemosus","Poaceae","Plantae"
"Riccia canaliculata","NBNSYS0000036053","Riccia canaliculata","Ricciaceae","Plantae"
"Carex acuta","NBNSYS0000002457","Carex acuta","Cyperaceae","Plantae"
"Euonymus europaeus","NBNSYS0000003195","Euonymus europaeus","Celastraceae","Plantae"
"Astragalus glycyphyllos","NBNSYS0000003269","Astragalus glycyphyllos","Fabaceae","Plantae"
"Salix x multinervis","NHMSYS0001754402","Salix cinerea x aurita = S. x multinervis","Salicaceae","Plantae"
"Carex laevigata","NHMSYS0000456866","Carex laevigata","Cyperaceae","Plantae"
"Eriophorum vaginatum","NBNSYS0000002375","Eriophorum vaginatum","Cyperaceae","Plantae"
"Gentiana pneumonanthe","NBNSYS0000003966","Gentiana pneumonanthe","Gentianaceae","Plantae"
"Leucobryum juniperoideum","NHMSYS0021597987","Leucobryum juniperoideum","Leucobryaceae","Plantae"
"Littorella uniflora","NBNSYS0000004280","Littorella uniflora","Plantaginaceae","Plantae"
"Echium vulgare","NBNSYS0000004019","Echium vulgare","Boraginaceae","Plantae"
"Sphagnum pulchrum","NHMSYS0000310683","Sphagnum pulchrum","Sphagnaceae","Plantae"
"Potamogeton praelongus","NBNSYS0000002133","Potamogeton praelongus","Potamogetonaceae","Plantae"
"Euphrasia officinalis","NHMSYS0021127699","Euphrasia officinalis","Orobanchaceae","Plantae"
"Spergularia rubra","NHMSYS0000463883","Spergularia rubra","Caryophyllaceae","Plantae"
"Carex dioica","NHMSYS0000456843","Carex dioica","Cyperaceae","Plantae"
"Ranunculus omiophyllus","NBNSYS0000002723","Ranunculus omiophyllus","Ranunculaceae","Plantae"
"Sphagnum teres","NHMSYS0000310702","Sphagnum teres","Sphagnaceae","Plantae"
"Gymnadenia conopsea","NHMSYS0000459168","Gymnadenia conopsea","Orchidaceae","Plantae"
"Elatine hexandra","NBNSYS0000002983","Elatine hexandra","Elatinaceae","Plantae"
"Salix repens","NBNSYS0000003877","Salix repens","Salicaceae","Plantae"
"Carex digitata","NBNSYS0000002449","Carex digitata","Cyperaceae","Plantae"
"Agrostis canina","NHMSYS0000455671","Agrostis canina","Poaceae","Plantae"
"Neottia ovata","NHMSYS0021005429","Neottia ovata","Orchidaceae","Plantae"
"Eriophorum angustifolium","NBNSYS0000002372","Eriophorum angustifolium","Cyperaceae","Plantae"
"Vaccinium vitis-idaea","NBNSYS0000003914","Vaccinium vitis-idaea","Ericaceae","Plantae"
"Allium ursinum","NBNSYS0000002205","Allium ursinum","Amaryllidaceae","Plantae"
"Melampyrum pratense","NBNSYS0000004138","Melampyrum pratense","Orobanchaceae","Plantae"
"Carex panicea","NBNSYS0000002436","Carex panicea","Cyperaceae","Plantae"
"Pedicularis sylvatica","NBNSYS0000004131","Pedicularis sylvatica","Orobanchaceae","Plantae"
"Vicia sylvatica","NBNSYS0000003289","Vicia sylvatica","Fabaceae","Plantae"
"Platanthera bifolia","NBNSYS0000002313","Platanthera bifolia","Orchidaceae","Plantae"
"Limosella aquatica","NBNSYS0000004089","Limosella aquatica","Scrophulariaceae","Plantae"
"Salix aurita","NBNSYS0000003874","Salix aurita","Salicaceae","Plantae"
"Ranunculus penicillatus","NBNSYS0000002733","Ranunculus penicillatus","Ranunculaceae","Plantae"
"Carex paniculata","NBNSYS0000002464","Carex paniculata","Cyperaceae","Plantae"
"Jasione montana","NBNSYS0000004297","Jasione montana","Campanulaceae","Plantae"
"Sphagnum subsecundum","NBNSYS0000189252","Sphagnum subsecundum","Sphagnaceae","Plantae"
"Sphagnum subnitens","NHMSYS0000310691","Sphagnum subnitens","Sphagnaceae","Plantae"
"Erica cinerea","NBNSYS0000003909","Erica cinerea","Ericaceae","Plantae"
"Scabiosa columbaria","NBNSYS0000004350","Scabiosa columbaria","Caprifoliaceae","Plantae"
"Orobanche rapum-genistae","NBNSYS0000004173","Orobanche rapum-genistae","Orobanchaceae","Plantae"
"Erica tetralix","NBNSYS0000003903","Erica tetralix","Ericaceae","Plantae"
"Drosera intermedia","NBNSYS0000003522","Drosera intermedia","Droseraceae","Plantae"
"Sphagnum cuspidatum","NBNSYS0000036095","Sphagnum cuspidatum","Sphagnaceae","Plantae"
"Blackstonia perfoliata","NHMSYS0000456502","Blackstonia perfoliata","Gentianaceae","Plantae"
"Hypericum montanum","NBNSYS0000002968","Hypericum montanum","Hypericaceae","Plantae"
"Convallaria majalis","NBNSYS0000002161","Convallaria majalis","Asparagaceae","Plantae"
"Anthyllis vulneraria","NBNSYS0000003255","Anthyllis vulneraria","Fabaceae","Plantae"
"Ranunculus trichophyllus","NBNSYS0000002727","Ranunculus trichophyllus","Ranunculaceae","Plantae"
"Adoxa moschatellina","NBNSYS0000004336","Adoxa moschatellina","Adoxaceae","Plantae"
"Hylotelephium telephium","NBNSYS0000003467","Sedum telephium","Crassulaceae","Plantae"
"Scleranthus annuus","NBNSYS0000004587","Scleranthus annuus","Caryophyllaceae","Plantae"
"Epipactis helleborine","NBNSYS0000002289","Epipactis helleborine","Orchidaceae","Plantae"
"Hordelymus europaeus","NHMSYS0000459739","Hordelymus europaeus","Poaceae","Plantae"
"Viola lutea","NHMSYS0000464889","Viola lutea","Violaceae","Plantae"
"Carex vesicaria","NBNSYS0000002427","Carex vesicaria","Cyperaceae","Plantae"
"Gymnadenia borealis","NHMSYS0000459167","Gymnadenia borealis","Orchidaceae","Plantae"
"Neottia nidus-avis","NBNSYS0000002301","Neottia nidus-avis","Orchidaceae","Plantae"
"Festuca altissima","NBNSYS0000002511","Festuca altissima","Poaceae","Plantae"
"Carex demissa x C. hostiana","NBNSYS0100009871","Carex demissa x C. hostiana","Cyperaceae","Plantae"
"Carex demissa","NHMSYS0000456908","Carex viridula subsp. oedocarpa","Cyperaceae","Plantae"
"Hypericum elodes","NBNSYS0000002969","Hypericum elodes","Hypericaceae","Plantae"
"Carex binervis","NHMSYS0000456834","Carex binervis","Cyperaceae","Plantae"
"Sphagnum contortum","NBNSYS0000036094","Sphagnum contortum","Sphagnaceae","Plantae"
"Osmunda regalis","NBNSYS0000002027","Osmunda regalis","Osmundaceae","Plantae"
"Sphagnum russowii","NBNSYS0000036076","Sphagnum russowii","Sphagnaceae","Plantae"
"Veronica catenata","NBNSYS0000004099","Veronica catenata","Plantaginaceae","Plantae"
"Bazzania trilobata","NHMSYS0000309433","Bazzania trilobata","Lepidoziaceae","Plantae"
"Ricciocarpos natans","NHMSYS0000310456","Ricciocarpos natans","Ricciaceae","Plantae"
"Genista anglica","NBNSYS0000003207","Genista anglica","Fabaceae","Plantae"
"Lamium hybridum","NHMSYS0000460083","Lamium hybridum","Lamiaceae","Plantae"
"Dactylorhiza x transiens","NHMSYS0001754647","Dactylorhiza fuchsii x maculata = D. x transiens","Orchidaceae","Plantae"
"Hydrocotyle vulgaris","NBNSYS0000003633","Hydrocotyle vulgaris","Araliaceae","Plantae"
"Clinopodium ascendens","NHMSYS0000457382","Clinopodium ascendens","Lamiaceae","Plantae"
"Typha angustifolia","NBNSYS0000002370","Typha angustifolia","Typhaceae","Plantae"
"Aneura pinguis","NHMSYS0000309344","Aneura pinguis","Aneuraceae","Plantae"
"Briza media","NBNSYS0000002565","Briza media","Poaceae","Plantae"
"Elymus caninus","NBNSYS0000002594","Elymus caninus","Poaceae","Plantae"
"Bidens cernua","NBNSYS0000004354","Bidens cernua","Asteraceae","Plantae"
"Bromopsis ramosa","NHMSYS0000456655","Bromopsis ramosa","Poaceae","Plantae"
"Montia fontana","NBNSYS0000003074","Montia fontana","Montiaceae","Plantae"
"Sphagnum capillifolium","NHMSYS0021600417","Sphagnum capillifolium","Sphagnaceae","Plantae"
"Myrica gale","NBNSYS0000003631","Myrica gale","Myricaceae","Plantae"
"Campanula trachelium","NBNSYS0000004283","Campanula trachelium","Campanulaceae","Plantae"
"Spirodela polyrhiza","NHMSYS0000463934","Spirodela polyrhiza","Araceae","Plantae"
"Sphagnum squarrosum","NBNSYS0000036072","Sphagnum squarrosum","Sphagnaceae","Plantae"
"Carex muricata ssp. muricata","NHMSYS0000456873","Carex muricata subsp. muricata","Cyperaceae","Plantae"
"Galium uliginosum","NBNSYS0000004317","Galium uliginosum","Rubiaceae","Plantae"
"Oenanthe aquatica","NHMSYS0000461142","Oenanthe aquatica","Apiaceae","Plantae"
"Ornithopus perpusillus","NBNSYS0000003274","Ornithopus perpusillus","Fabaceae","Plantae"
"Sphagnum platyphyllum","NHMSYS0000310681","Sphagnum platyphyllum","Sphagnaceae","Plantae"
"Ceratocapnos claviculata","NHMSYS0000457085","Ceratocapnos claviculata","Papaveraceae","Plantae"
"Parnassia palustris","NBNSYS0000003512","Parnassia palustris","Celastraceae","Plantae"
"Danthonia decumbens","NBNSYS0000002500","Danthonia decumbens","Poaceae","Plantae"
"Valeriana dioica","NBNSYS0000004345","Valeriana dioica","Caprifoliaceae","Plantae"
"Genista tinctoria","NBNSYS0000003206","Genista tinctoria","Fabaceae","Plantae"
"Veronica montana","NBNSYS0000004103","Veronica montana","Plantaginaceae","Plantae"
